"Pacfin Port Code","Pacfin Port Name","Pacfin Port Description","Agency Name"
"1","CANADIAN","DFO,CANADA PORT GROUP 1 (CANADIAN)","DFO - CANADA"
"1A","JUNEAU","JUNEAU","ADFG"
"1AC","CP-JUNEAU","JUNEAU                   (CATCHER PROCESSOR)","ADFG"
"1B","KETCHIKAN","KETCHIKAN","ADFG"
"1BC","CP-KETCHKN","KETCHIKAN                (CATCHER PROCESSOR)","ADFG"
"1C","PETERSBURG","PETERSBURG / WRANGELL","ADFG"
"1CC","CP-PTRSBRG","PETERSBURG / WRANGELL    (CATCHER PROCESSOR)","ADFG"
"1D","SITKA","SITKA","ADFG"
"1DC","CP-SITKA","SITKA                    (CATCHER PROCESSOR)","ADFG"
"2","U.S. PORTS","DFO,CANADA PORT GROUP 2 (U.S.)","DFO - CANADA"
"2E","PR W SND","PRINCE WILLIAM SOUND","ADFG"
"2EC","CP-WILLIAM","PRINCE WILLIAM SOUND     (CATCHER PROCESSOR)","ADFG"
"2H","COOK","COOK INLET","ADFG"
"2HC","CP-COOK","COOK INLET               (CATCHER PROCESSOR)","ADFG"
"2T","BRISTOL-C","BRISTOL BAY (CENTRAL)","ADFG"
"2TC","CP-BRSTL-C","BRISTOL BAY (CENTRAL)    (CATCHER PROCESSOR)","ADFG"
"3W","KUSKOKWIM","KUSKOKWIM","ADFG"
"3WC","CP-KUSKOK","KUSKOKWIM                (CATCHER PROCESSOR)","ADFG"
"3X","KOTZEBUE","KOTZEBUE","ADFG"
"3XC","CP-KOTZEBU","KOTZEBUE                 (CATCHER PROCESSOR)","ADFG"
"3Y","YUKON","YUKON RIVER","ADFG"
"3YC","CP-YUKON","YUKON RIVER              (CATCHER PROCESSOR)","ADFG"
"3Z","NORTON","NORTON SOUND","ADFG"
"3ZC","CP-NORTON","NORTON SOUND             (CATCHER PROCESSOR)","ADFG"
"4K","KODIAK","KODIAK","ADFG"
"4KC","CP-KODIAK","KODIAK                   (CATCHER PROCESSOR)","ADFG"
"4L","CHIGNIK","CHIGNIK","ADFG"
"4LC","CP-CHIGNIK","CHIGNIK                  (CATCHER PROCESSOR)","ADFG"
"4M","PENINSULA","ALASKA PENINSULA","ADFG"
"4MC","CP-PENINSU","ALASKA PENINSULA         (CATCHER PROCESSOR)","ADFG"
"4O","DUTCH","DUTCH HARBOR","ADFG"
"4OC","CP-DUTCH","DUTCH HARBOR             (CATCHER PROCESSOR)","ADFG"
"4Q","BERING","BERING SEA","ADFG"
"4QC","CP-BERING","BERING SEA               (CATCHER PROCESSOR)","ADFG"
"4R","ADAK","ADAK / W. ALEUTIANS","ADFG"
"4RC","CP-ADAK","ADAK / W. ALEUTIANS      (CATCHER PROCESSOR)","ADFG"
"4S","BRISTOL-W","BRISTOL BAY","ADFG"
"4SC","CP-BRISTOL","BRISTOL BAY              (CATCHER PROCESSOR)","ADFG"
"AAL","ADFG","ALL ALASKA PORTS","ADFG"
"ACA","CDFG","ALL CALIFORNIA PORTS","CDFW"
"ACN","FOREIGN","ALL COUNTRIES","NWAFC"
"AFO","CANADA","ALL CANADIAN LANDINGS (CANADIAN AND U.S. PORTS)","DFO - CANADA"
"AJV","JVP","ALL JOINT-VENTURES","NWAFC"
"AKF","FL/AKR","INTERNAL WATERS FLOATING PROCESSORS CATCH","AKR"
"AKR","NMFS/AKR","ALL CATCH REPORTED BY NMFS/AKR","AKR"
"AKS","SS/AKR","SHORE-SIDE PROCESSING CATCH REPORTED BY AKR","AKR"
"AL1","UNKN ALAS","OTHER OR UNKNOWN ALASKA SUB-REGION","ADFG"
"ALB","ALBION","ALBION","CDFW"
"ALL","ALL SOURCE","ALL U.S. CATCH: DOMESTIC + JV + FOREIGN","GLOB"
"ALM","ALAMEDA","ALAMEDA","CDFW"
"ALP","DOMESTIC","ALL SHORE BASED AND CATCHER PROCESSOR CATCH","GLOB"
"ANA","ANACORTES","ANACORTES","WDFW"
"ANT","NTRB ATSEA","AT SEA NON-TRIBAL - PMFC","AFSC"
"ANW","NWAFC","ALL COUNTRIES AND JOINT-VENTURES","NWAFC"
"AOR","ODFW","ALL OREGON PORTS","ODFW"
"APP","WOC AT SEA","AT SEA PROCESSORS - PFMC (CP or FLOATING)","AFSC"
"ARE","PNT ARENA","POINT ARENA","CDFW"
"AS1","CP/AT SEA","ADFG CATCHER PROCESSORS UNLOADING AT SEA","ADFG"
"AS2","AT SEA","FISH AT SEA, CALIFORNIA","CDFW"
"AS3","CP/AKR","CATCHER-PROCESSOR AND MOTHERSHIP CATCH","AKR"
"AS4","AT SEA","FISH AT SEA, OREGON","ODFW"
"AS5","AT SEA","FISH AT SEA, WASHINGTON","WDFW"
"ASA","CP/AT SEA","ADFG CATCHER PROCESSORS UNLOADING AT SEA","ADFG"
"ASC","AT SEA","FISH AT SEA, CALIFORNIA","CDFW"
"ASO","AT SEA","FISH AT SEA, OREGON","ODFW"
"ASP","WOC AT SEA","AT SEA PROCESSORS - PFMC","AFSC"
"ASR","CP/AKR","CATCHER-PROCESSOR AND MOTHERSHIP CATCH","AKR"
"AST","ASTORIA","ASTORIA","ODFW"
"ASW","AT SEA","FISH AT SEA, WASHINGTON","WDFW"
"AVL","AVILA","AVILA","CDFW"
"AWA","WDFW","ALL WASHINGTON PORTS","WDFW"
"AYK","A-Y-K","A-Y-K REGION","ADFG"
"BCR","BIG CREEK","BIG CREEK","CDFW"
"BD1","BAIT-DLV","FLOATING BAIT DELIVERIES","ADFG"
"BDA","BODEGA","BODEGA BAY AREA PORTS","CDFW"
"BDG","BODEGA BAY","BODEGA BAY","CDFW"
"BDN","BANDON","BANDON","ODFW"
"BGA","BRAGG","FORT BRAGG AREA PORTS","CDFW"
"BKL","BERKELEY","BERKELEY","CDFW"
"BLG","BULGARIA","BULGARIA","NWAFC"
"BLL","BELLINGHAM","BELLINGHAM BAY","WDFW"
"BLN","BLAINE","BLAINE","WDFW"
"BOL","BOLINAS","BOLINAS","CDFW"
"BRA","BROOKINGS","BROOKINGS AREA PORTS","ODFW"
"BRG","FORT BRAGG","FORT BRAGG","CDFW"
"BRK","BROOKINGS","BROOKINGS","ODFW"
"CA2","UNKN CAL","OTHER OR UNKNOWN CALIFORNIA PORTS","CDFW"
"CAB","ABV BONNEV","COLUMBIA RIVER ABOVE BONNEVILLE DAM","ODFW"
"CBA","COOS BAY","COOS BAY AREA PORTS","ODFW"
"CBB","BLW BONNEV","COLUMBIA RIVER BELOW BONNEVILLE DAM","ODFW"
"CCA","CRESCENT","CRESCENT CITY AREA PORTS","CDFW"
"CEN","CENTRAL","CENTRAL REGION","ADFG"
"CHN","CHINA","CHINA","NWAFC"
"CLO","COL R OR.","COLUMBIA RIVER PORTS (OREGON)","ODFW"
"CLW","COL R WA.","COLUMBIA RIVER PORTS (WASHINGTON)","WDFW"
"CNB","CANNON BCH","CANNON BEACH","ODFW"
"COS","COOS BAY","Charleston (Coos Bay)","ODFW"
