"","X","filename","decade","category","license","year","fees_usd","items","revenues_usd"
"1",1,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Commercial Hunting Club License",1970,25,50,1250
"2",2,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Dog Training Permit",1970,1,436,436
"3",3,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Falconry License",1970,15,643,9645
"4",4,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Fur Agent License",1970,NA,NA,NA
"5",5,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Fur Buyer",1970,NA,NA,NA
"6",6,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Domesticated Game Breeder License Class 1",1970,5,1183,5915
"7",7,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Domesticated Game Breeder License Class 2",1970,25,115,2875
"8",8,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Domesticated Game Breeder License Class 3",1970,NA,NA,NA
"9",9,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Guide License (R)",1970,10,379,3790
"10",10,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Guide License (NR)",1970,NA,NA,NA
"11",11,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Licensed Game Bird Club A <500",1970,75,78,5850
"12",12,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Licensed Game Bird Club A >500",1970,100,127,12700
"13",13,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Licensed Domesticated Migratory Game Bird Shooting Area",1970,NA,NA,NA
"14",14,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Organizational Field Trial Permit (R)",1970,5,49,245
"15",15,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Scientific Collecting Permit (R)",1970,5,611,3055
"16",16,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Scientific Collecting Permit (Student)",1970,1,204,204
"17",17,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Suction Dredge Permit - Standard (R)",1970,NA,NA,NA
"18",18,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Suction Dredge Permit - Special",1970,NA,NA,NA
"19",19,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Trapping License (Junior)",1970,NA,NA,NA
"20",20,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Trapping License (R)",1970,NA,NA,NA
"21",21,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Trapping License (NR)",1970,NA,NA,NA
"22",22,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Commercial Hunting Club License",1971,25,89,2225
"23",23,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Dog Training Permit",1971,1,570,570
"24",24,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Falconry License",1971,15,630,9450
"25",25,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Fur Agent License",1971,NA,NA,NA
"26",26,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Fur Buyer",1971,NA,NA,NA
"27",27,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Domesticated Game Breeder License Class 1",1971,5,1306,6530
"28",28,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Domesticated Game Breeder License Class 2",1971,25,135,3375
"29",29,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Domesticated Game Breeder License Class 3",1971,NA,NA,NA
"30",30,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Guide License (R)",1971,10,421,4210
"31",31,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Guide License (NR)",1971,NA,NA,NA
"32",32,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Licensed Game Bird Club A <500",1971,75,73,5475
"33",33,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Licensed Game Bird Club A >500",1971,100,135,13500
"34",34,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Licensed Domesticated Migratory Game Bird Shooting Area",1971,NA,NA,NA
"35",35,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Organizational Field Trial Permit (R)",1971,5,82,410
"36",36,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Scientific Collecting Permit (R)",1971,5,644,3220
"37",37,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Scientific Collecting Permit (Student)",1971,1,296,296
"38",38,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Suction Dredge Permit - Standard (R)",1971,NA,NA,NA
"39",39,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Suction Dredge Permit - Special",1971,NA,NA,NA
"40",40,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Trapping License (Junior)",1971,NA,NA,NA
"41",41,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Trapping License (R)",1971,NA,NA,NA
"42",42,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Trapping License (NR)",1971,NA,NA,NA
"43",43,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Commercial Hunting Club License",1972,25,98,2450
"44",44,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Dog Training Permit",1972,1,711,711
"45",45,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Falconry License",1972,15,736,11040
"46",46,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Fur Agent License",1972,NA,NA,NA
"47",47,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Fur Buyer",1972,NA,NA,NA
"48",48,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Domesticated Game Breeder License Class 1",1972,5,1173,5865
"49",49,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Domesticated Game Breeder License Class 2",1972,25,128,3200
"50",50,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Domesticated Game Breeder License Class 3",1972,NA,NA,NA
"51",51,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Guide License (R)",1972,10,476,4760
"52",52,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Guide License (NR)",1972,NA,NA,NA
"53",53,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Licensed Game Bird Club A <500",1972,75,79,5925
"54",54,"tabula-70s Fees Special Permits.csv","1970s","Licenses","Licensed Game Bird Club A >500",1972,100,135,13500
