"year","filename","species","type","January","Feburary","March","April","May","June","July","August","September","October","November","December","Total","flag"
"2010","45 (1).pdf","Anchovy..northern.....0","value","CHECK","CHECK","CHECK","CHECK","CHECK","CHECK","CHECK","CHECK","CHECK","CHECK","CHECK","CHECK","CHECK","CHECK"
"2010","45 (1).pdf","Cod, Pacific1344","value",NA,"5788","17767","28873","128789","127141","52349","108578","72594","908","130","513","544774",""
"2010","45 (1).pdf","Flounder, arrowtooth12891","value",NA,"20677","20173","11847","45916","12337","9287","23101","12371","2957","5062","9672","186291",""
"2010","45 (1).pdf","Flounder, starry1778","value",NA,"6032","2715","382","906","3253","2270","31365","6705","0","0","0","55406",""
"2010","45 (1).pdf","Grenadier7","value",NA,"0","0","17","17","13","0","0","0","71","1","0","126",""
"2010","45 (1).pdf","Hagfish sp0","value",NA,"0","0","0","0","0","0","0","6930","22679","2142","6507","38258",""
"2010","45 (1).pdf","Halibut, Pacific0","value",NA,"0","0","0","0","45701","38382","154416","0","0","0","0","238499",""
"2010","45 (1).pdf","Lingcod0","value",NA,"26","134","832","3119","5059","7803","5101","7626","596","428","943","31667",""
"2010","45 (1).pdf","Mackerel, jack0","value",NA,"0","0","0","0","0","742","334","2399","719","0","0","4194",""
"2010","45 (1).pdf","Mackerel, Pacific0","value",NA,"0","0","0","0","0","0","383","5207","5536","0","0","11126",""
"2010","45 (1).pdf","Pacific Ocean perch2999","value",NA,"6762","4585","4005","11255","5448","7031","5725","11767","3430","3092","2952","69051",""
"2010","45 (1).pdf","Rockfish, black21","value",NA,"81","168","135","104","123","132","351","88","0","0","0","1203",""
"2010","45 (1).pdf","Rockfish, canary0","value",NA,"0","0","3","120","471","778","1020","643","9","0","0","3044",""
"2010","45 (1).pdf","Rockfish, darkblotched2720","value",NA,"3132","2503","2577","6792","5495","6833","7821","10630","2059","0","0","50562",""
"2010","45 (1).pdf","Rockfish, widow2","value",NA,"0","0","3","0","1394","3180","3533","1499","144","0","0","9755",""
