"SPECIES_CODE","SPECIES_COMMON_NAME","AKFIN_SPECIES_CODE"
"100","groundfish, general","FLTF"
"101","waste fish (from trawl shrimp fishing)","OTHR"
"110","cod, Pacific (gray)","PCOD"
"112","Pacific hake","OTHR"
"116","Bering flounder","FLTF"
"117","Kamchatka flounder","FLTF"
"118","flatfish, deep water","FLTF"
"119","flatfish, shallow water","FLTF"
"120","flounder, general","FLTF"
"121","flounder, arrowtooth","FLTF"
"122","sole, flathead","FLTF"
"123","sole, rock","FLTF"
"124","sole, dover","FLTF"
"125","sole, rex","FLTF"
"126","sole, butter","FLTF"
"127","sole, yellowfin","FLTF"
"128","sole, English","FLTF"
"129","flounder, starry","FLTF"
"130","lingcod","OTHR"
"131","sole, petrale","FLTF"
"132","sole, sand","FLTF"
"133","flounder, Alaska plaice","FLTF"
"134","turbot, Greenland","FLTF"
"135","rockfish, greenstripe","ROCK"
"136","rockfish, northern","ROCK"
"137","rockfish, bocaccio","ROCK"
"138","rockfish, copper","ROCK"
"139","rockfish, other","ROCK"
"140","rockfish, red","ROCK"
"141","perch, Pacific ocean","ROCK"
"142","rockfish, black","ROCK"
"143","rockfish, thornyhead (idiots)","ROCK"
"144","rockfish, unspecified slope","ROCK"
"145","rockfish, yelloweye (red snapper)","ROCK"
"146","rockfish, canary","ROCK"
"147","rockfish, quillback","ROCK"
"148","rockfish, tiger","ROCK"
"149","rockfish, china","ROCK"
"150","rockfish, rosethorn","ROCK"
"151","rockfish, rougheye","ROCK"
"152","rockfish, shortraker","ROCK"
"153","rockfish, redbanded","ROCK"
"154","rockfish, dusky","ROCK"
"155","rockfish, yellowtail","ROCK"
"156","rockfish, widow","ROCK"
"157","rockfish, silvergray","ROCK"
"158","rockfish, redstripe","ROCK"
"159","rockfish, darkblotched","ROCK"
"160","sculpin, general","OTHR"
"161","sculpin, coastrange","OTHR"
"162","sculpin, slimy","OTHR"
"163","sculpin, fourhorn","OTHR"
"164","sculpin, prickly","OTHR"
"165","sculpin, riffle","OTHR"
"166","rockfish, sharpchin","ROCK"
"167","rockfish, blue","ROCK"
"168","rockfish, unspecified demersal","ROCK"
"169","rockfish, unspecified pelagic","ROCK"
"170","sardine, Pacific (pilchard)","OTHR"
"171","rockfish, shortraker/rougheye","ROCK"
"172","rockfish, dusky","ROCK"
"173","rockfish, dark","ROCK"
"175","rockfish, yellowmouth","ROCK"
"176","rockfish, harlequin","ROCK"
"177","rockfish, blackgill","ROCK"
"178","rockfish, chilipepper","ROCK"
"179","rockfish, pygmy","ROCK"
"180","shad, American","OTHR"
"181","rockfish, shortbelly","ROCK"
"182","rockfish, splitnose","ROCK"
"183","rockfish, stripetail","ROCK"
"184","rockfish, vermilion","ROCK"
"185","rockfish, aurora ","ROCK"
"190","greenling, general","OTHR"
"191","greenling, rock","OTHR"
"192","greenling, whitespot","OTHR"
"193","greenling, atka mackerel","AMCK"
"194","greenling, kelp","OTHR"
"200","halibut, Pacific","HLBT"
"202","halibut, Pacific","HLBT"
"203","halibut, Pacific","HLBT"
"204","halibut, Pacific","HLBT"
"206","Pacific sand fish","OTHR"
"207","gunnels","OTHR"
"208","prickleback, warbonnet, ellblenny, cockscome, shanny","OTHR"
"209","bristlemouth, lightfish, anglemouth","OTHR"
"210","eels or eel-like fish","OTHR"
"211","wrymouths","OTHR"
"212","hagfish, Pacific","OTHR"
"213","grenadier (rattail)","OTHR"
"214","grenadier, giant","OTHR"
"215","prowfish","OTHR"
"216","lumpsucker, smooth","OTHR"
"217","wolf-eel","OTHR"
"218","Snailfish, general","OTHR"
"219","Poacher, general","OTHR"
"220","saury, Pacific","OTHR"
"230","herring, Pacific ","HRNG"
"231","herring, roe on kelp","HRNG"
"232","herring, roe only","HRNG"
"233","herring, bait","HRNG"
"234","herring, with sac roe","HRNG"
"235","herring, food","HRNG"
"250","tomcod, Pacific","OTHR"
"260","Pacific flatnose","OTHR"
"270","pollock, walleye","PLCK"
"310","Macroalgae Codes","OTHR"
"311","Macroalgae Codes","OTHR"
"312","Macroalgae Codes","OTHR"
"313","Macroalgae Codes","OTHR"
"314","Macroalgae Codes","OTHR"
"315","Macroalgae Codes","OTHR"
"316","Macroalgae Codes","OTHR"
"317","Macroalgae Codes","OTHR"
"318","Macroalgae Codes","OTHR"
"319","Macroalgae Codes","OTHR"
"320","Macroalgae Codes","OTHR"
"321","Macroalgae Codes","OTHR"
"322","Macroalgae Codes","OTHR"
"323","Macroalgae Codes","OTHR"
"324","Macroalgae Codes","OTHR"
"325","Macroalgae Codes","OTHR"
"326","Macroalgae Codes","OTHR"
"327","Macroalgae Codes","OTHR"
"328","Macroalgae Codes","OTHR"
"329","Macroalgae Codes","OTHR"
"330","Macroalgae Codes","OTHR"
"331","Macroalgae Codes","OTHR"
"332","Macroalgae Codes","OTHR"
"333","Macroalgae Codes","OTHR"
"334","Macroalgae Codes","OTHR"
"335","Macroalgae Codes","OTHR"
"336","Macroalgae Codes","OTHR"
"337","Macroalgae Codes","OTHR"
"338","Macroalgae Codes","OTHR"
"339","Macroalgae Codes","OTHR"
"340","Macroalgae Codes","OTHR"
"341","Macroalgae Codes","OTHR"
"342","Macroalgae Codes","OTHR"
"343","Macroalgae Codes","OTHR"
"344","Macroalgae Codes","OTHR"
"345","Macroalgae Codes","OTHR"
"346","Macroalgae Codes","OTHR"
"347","Macroalgae Codes","OTHR"
"348","Macroalgae Codes","OTHR"
"349","Macroalgae Codes","OTHR"
"350","Macroalgae Codes","OTHR"
"351","Macroalgae Codes","OTHR"
