CUST_ORG,BUS_CAT_CL,BUS_CAT_DS,OCCPNT_TYP,SRCDATA_ID,SRC_ID_IND,FCLTY_NM,DESCRIPTN,ADDRESS,OTHER_ADDR,ST_ADDRESS,POSTAL_CD,LOCALITY,CONT_PHONE,CONT_EMAIL,CONT_FAX,WEBSITE,IMAGE_URL,LATITUDE,LONGITUDE,KEYWORDS,DT_UPDATE,GEOCD_IND,AUTHORITY,OPERATOR,COMMODITY,STOR_CPCTY,DATA_SRCE,TYPE_USE,BERTH_DESC,SHAPE,SEQ_ID,X,Y
"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",waterTransportation,Water Transportation,BC Ports and Terminals,184,N,Sooke,Port,"Sooke, BC","PO Box 571, Sooke, BC  V9Z 1H5",,V9Z 1H5,Sooke,,,,http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc,,48.369913999999994,-123.72575499999999,Sooke; Core; Fishing; Port; Small Craft Harbour,20200121073233,,Harbour Authority of Sooke,DFO Small Craft Harbour,"fish, core fishing harbour","moorage, hydro, water, garbage, lights, parking, pay phone, security",Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014,Fishing,"wharf and floats, derrick",,285,-123.72575499919705,48.369914001986224
"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",waterTransportation,Water Transportation,BC Ports and Terminals,185,N,Ogden Point Terminal,Terminal,"189 Dallas Rd, Victoria, BC","189 Dallas Rd, Victoria, BC",189 Dallas Rd,V8V 1A1,Victoria,,,,http://www.gvha.ca/ogden-point-terminal,,48.4159155,-123.3883418,Ogden Point; Victoria; Terminal; Cruiseship; Breakbulk; Cargo; Provisioning,20200121073233,,Greater Victoria Port Authority,Greater Victoria Harbour Authority,"ship servicing, cruiseship passengers","Pier A contains 2 berths with a modern 9290 m ware house and cruiseship services, Pier B serves as a staging area",Ogden Point Deep Water Port; BC Ports Handbook 2014; Greater Victoria Harbour Authority,Passenger Cruise and Vessel Services,"Pier A 2 berths: length 305 m and 244 m, depth 10.7 m; Pier B 2 berths length 244 m and 244 m, depth 11 m ",,251,-123.38834180197382,48.4159155167401
"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",waterTransportation,Water Transportation,BC Ports and Terminals,186,N,Ship Point,Terminal,"700 Government St, Victoria, BC","700 Government St, Victoria, BC",700 Government St,V8W 1W5,Victoria,,,,http://www.gvha.ca/marinas-facilities/marinas/causeway-ship-point,,48.4213785,-123.3709474,Ship Poiint; Victoria; Cruiseship; Terminal; Marina,20200121073233,,Greater Victoria Port Authority,Greater Victoria Harbour Authority,pocket cruises and boat docking,"Wharf is 12 meters in width with vehicle load limit of 10,200 kg GVW 2 axel semi-trailer",Greater Victoria Harbour Authority; BC Ports Handbook 2014,Passenger Cruise ,"Southwest berth: length 91 m, depth 6 m;  Northwest berth: length 67 m, depth 5 m; 4 slips for vessels 35 - 44 m length",,213,-123.37094740392588,48.42137847117906
"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",waterTransportation,Water Transportation,BC Ports and Terminals,187,N,Oak Bay (Turkey Head) - Breakwater,Harbour,"Oak Bay, BC","Oak Bay, BC",,,Oak Bay,,,,http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc,,48.425776,-123.299475,Oak Bay; Turkey Head; Breakwater; Core; Fishing; Harbour; Small Craft Harbour,20200121073233,,Department of Fisheries and Oceans,DFO Small Craft Harbour,recreational,N/A,Department of Fisheries and Oceans Small Craft Harbours,Recreational,breakwater,,529,-123.29947500326674,48.42577599575066
"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",waterTransportation,Water Transportation,BC Ports and Terminals,188,N,Point Hope Maritime Ltd.,Shipyard,"345 Harbour Rd, Victoria, BC","345 Harbour Rd, Victoria, BC",345 Harbour Rd,V9A 3S2,Victoria,,,,http://pointhopemaritime.com/,,48.4309936,-123.3763624,Point Hope; Maritime; Victoria; Shipyard;,20200121073233,,Greater Victoria Harbour Authority,Point Hope Maritime Ltd,repair & vessel re-fit,N/A,Point Hope Maritime; Greater Victoria Harbour Authority; BC Ports Handbook 2014,Shipyards and Ship Repair Facilities,N/A,,219,-123.37636240165664,48.43099356851799
"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",waterTransportation,Water Transportation,BC Ports and Terminals,189,N,Esquimalt Graving Docks,Shipyard,"Esquimalt, BC","825 Admirals Rd, Victoria, BC  V9A 2P1",,V9A 2P1,Esquimalt,,,,http://www.tpsgc-pwgsc.gc.ca/biens-property/cse-egd/index-eng.html,,48.4361772,-123.4256444,Esquimalt; Graving Dock; Shipyard; Victoria; Government of Canada; Public Works,20200121073233,,Greater Victoria Harbour Authority,Public Works and Government Services Canada,dry dock ship repairs and servicing,150 tonne and 50 tonne travelling cranes on north wall graving dock; 30 tonne travelling crane on south wall,Public Works Canada; BC Ports Handbook 2014; Greater Victoria Harbour Authority,Shipyards and Ship Repair Facilities,"length 358.64 m, width 38.4, depth 11.5 m",,379,-123.42564440335273,48.436177231809026
"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",waterTransportation,Water Transportation,BC Ports and Terminals,190,N,Victoria Shipyards Co Ltd (Seaspan),Shipyard,"Esquimalt, BC","825 Admirals Rd, Victoria, BC  V9A 2P1",,V9A 2P1,Esquimalt,,,,http://www.seaspan.com/victoria-shipyards,,48.4374757,-123.4308821,Victoria; Shipyard; Seaspan ,20200121073233,,Greater Victoria Harbour Authority,Seaspan,deep sea ship repair and servicing,N/A,Seaspan; Greater Victoria Harbour Authority; BC Ports Handbook 2014 ,Shipyards and Ship Repair Facilities,N/A,,259,-123.4308820978802,48.4374757275812
"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",waterTransportation,Water Transportation,BC Ports and Terminals,191,N,Sidney (Beacon Avenue),Harbour,"Sidney, BC","Sidney, BC",,,Sidney,,,,http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc,,48.6493298,-123.3929257,Sidney; Beacon Avenue; Harbour; Recreational; Small Craft Harbour ,20200121073233,,Department of Fisheries and Oceans,DFO Small Craft Harbour,recreational harbour,"moorage, hydro, water, parking, pay phone",Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014,Recreational,wharf and floats,,279,-123.39292569928413,48.64932975169453
"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",waterTransportation,Water Transportation,BC Ports and Terminals,192,N,Tsehum Harbour (Shoal Harbour),Port,"Sidney, BC","PO Box 2636, 10441 Resthaven Dr, Sidney, BC  V8L 4C1",,V8L 4C1,Sidney,,,,http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc,,48.667398,-123.40806,Tsehum Harbour; Shoal Harbour; Core; Fishing; Port; Small Craft Harbour,20200121073233,,Tsehum Harbour Authority,DFO Small Craft Harbour,"fish, core fishing harbour","moorage, hydro, water, garbage, lights, parking, pumpout, pay phone, restroom facilities",Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014,Fishing,"wharf and floats, derrick",,513,-123.40805999504154,48.66739800116231
"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",waterTransportation,Water Transportation,BC Ports and Terminals,193,N,Cowichan Bay,Port,"Cowichan Bay, BC","PO Box 52, 1699 Cowichan Bay Rd, Cowichan Bay, BC  V0R 1N0",,V0R 1N0,Cowichan Bay,,,,http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/ha-ap-eng.asp?p=bc#PA005,,48.741122999999995,-123.61767,Cowichan; Core; Fishing; Port; Small Craft Harbour; Marina,20200121073233,,Cowichan Bay Fisherman's Wharf Association,DFO Small Craft Harbour,"fish, core fishing harbour","moorage, hydro, water, garbage, lights, security, parking, pumpout, storage, fuel sales, restroom facilities, laundry, pay phone",BC Ports Handbook 2014; Department of Fisheries and Oceans Small Craft Harbours,Fishing ,"wharf and floats, breakwater derrick",,203,-123.61767000576705,48.74112300015186
