"comm_name_orig","comm_name","sci_name","level","presentation"
"Abalone, Black","Black abalone","Haliotis cracherodii","species","whole"
"Abalone, Flat",NA,NA,NA,NA
"Abalone, Green",NA,NA,NA,NA
"Abalone, Pink",NA,NA,NA,NA
"Abalone, Pinto",NA,NA,NA,NA
"Abalone, Red",NA,NA,NA,NA
"Abalone, Threaded",NA,NA,NA,NA
"Abalone, Unspecified",NA,NA,NA,NA
"Abalone, White",NA,NA,NA,NA
"Anchovy, Deepbody","Deepbody anchovy","Anchoa compressa","species","whole"
"Anchovy, Northern","Northern anchovy","Engraulis mordax","species","whole"
"Barnacle","Barnacle","Cirripedia spp.","group","whole"
"Barracuda, California","California barracuda","Sphyraena argentea","species","whole"
"Bass, Barred Sand","Barred sand bass","Paralabrax nebulifer","species","whole"
"Bass, Giant Sea","Giant sea bass","Stereolepis gigas","species","whole"
"Bass, Kelp","Kelp bass","Paralabrax clathratus","species","whole"
"Bass, Rock","Rock bass","Ambloplites rupestris","species","whole"
"Bass, Spotted Sand","Spotted sand bass","Paralabrax maculatofasciatus","species","whole"
"Bass, Striped","Striped bass","Morone saxatilis","species","whole"
"Blackfish, Sacramento","Sacramento blackfish","Orthodon microlepidotus","species","whole"
"Blacksmith","Blacksmith","Chromis punctipinnis","species","whole"
"Bonefish",NA,NA,NA,NA
"Bonito, Pacific","Pacific bonito","Sarda chiliensis","species","whole"
"Box Crab",NA,NA,NA,NA
"Butterfish, Pacific",NA,NA,NA,NA
"Cabezon","Cabezon","Scorpaenichthys marmoratus","species","whole"
"Cabrilla, Spotted","Spotted cabrilla","Epinephelus analogus","species","whole"
"Carp","Carp","Cyprinidae spp.","group","whole"
"Catfish",NA,NA,NA,NA
"Chiton",NA,NA,NA,NA
"Clam, California Jackknife","California jackknife clam","Ensis myrae","species","whole"
"Clam, Common Washington",NA,NA,NA,NA
"Clam, Gaper","Gaper clam","Tresus nuttalli, Tresus capax","group","whole"
"Clam, Native Littleneck",NA,NA,NA,NA
"Clam, Nothern Razor",NA,NA,NA,NA
"Clam, Pismo",NA,NA,NA,NA
"Clam, Purple","Purple clam","Unknown","species","whole"
"Clam, Rosy Razor","Rosy razor clam","Solecurtus strigilatus","species","whole"
"Clam, Soft Shelled",NA,NA,NA,NA
"Clam, Unspecified","Unspecified clam","Clam spp.","group","whole"
"Cod, Pacific","Pacific cod","Gadus macrocephalus","species","whole"
"Corbina, California","California corbina","Menticirrhus undulatus","species","whole"
"Corvina, Shortfin","Shortfin corvina","Cynoscion parvipinnis","species","whole"
"Crab, Brown Rock","Brown rock crab","Cancer antennarius","species","whole"
"Crab, Claws","Crab","Brachyura spp.","group","claws"
"Crab, Dungeness","Dungeness crab","Metacarcinus magister","species","whole"
"Crab, King","King crab","Paralithodes spp.","group","whole"
"Crab, Pelagic Red","Pelagic red crab","Pleuroncodes planipes","species","whole"
"Crab, Red Rock","Red rock crab","Cancer productus","species","whole"
"Crab, Rock",NA,NA,NA,NA
