source,year,quantity_lb
FB 181 Table 2,1916,"95,003"
FB 181 Table 2,1917,"209,877"
FB 181 Table 2,1918,"261,134"
FB 181 Table 2,1919,"266,270"
FB 181 Table 2,1920,"222,004"
FB 181 Table 2,1921,"135,348"
FB 181 Table 2,1922,"182,343"
FB 181 Table 2,1923,"253,875"
FB 181 Table 2,1924,"340,446"
FB 181 Table 2,1925,"437,502"
FB 181 Table 2,1926,"394,964"
FB 181 Table 2,1927,"487,166"
FB 181 Table 2,1928,"583,527"
FB 181 Table 2,1929,"856,854"
FB 181 Table 2,1930,"702,189"
FB 181 Table 2,1931,"502,390"
FB 181 Table 2,1932,"556,139"
FB 181 Table 2,1933,"821,805"
FB 181 Table 2,1934,"1,390,798"
FB 181 Table 2,1935,"1,448,017"
FB 181 Table 2,1936,"1,764,900"
FB 181 Table 2,1937,"1,362,984"
FB 181 Table 2,1938,"1,310,596"
FB 181 Table 2,1939,"1,486,535"
FB 181 Table 2,1940,"1,297,518"
FB 181 Table 2,1941,"1,528,892"
FB 181 Table 2,1942,"1,173,414"
FB 181 Table 2,1943,"1,234,049"
FB 181 Table 2,1944,"1,459,456"
FB 181 Table 2,1945,"1,216,501"
FB 181 Table 2,1946,"919,822"
FB 181 Table 2,1947,"795,499"
FB 181 Table 2,1948,"900,467"
FB 181 Table 2,1949,"1,135,339"
FB 181 Table 2,1950,"1,366,676"
FB 181 Table 2,1951,"907,114"
FB 181 Table 2,1952,"694,996"
FB 181 Table 2,1953,"618,919"
FB 181 Table 2,1954,"713,410"
FB 181 Table 2,1955,"710,713"
FB 181 Table 2,1956,"772,551"
FB 181 Table 2,1957,"738,550"
FB 181 Table 2,1958,"832,919"
FB 181 Table 2,1959,"713,423"
FB 181 Table 2,1960,"694,663"
FB 181 Table 2,1961,"725,253"
FB 181 Table 2,1962,"663,107"
FB 181 Table 2,1963,"592,899"
FB 181 Table 2,1964,"591,131"
FB 181 Table 2,1965,"544,480"
FB 181 Table 2,1966,"591,533"
FB 181 Table 2,1967,"589,028"
FB 181 Table 2,1968,"567,214"
FB 181 Table 2,1969,"672,793"
FB 181 Table 2,1970,"798,415"
FB 181 Table 2,1971,"687,995"
FB 181 Table 2,1972,"845,699"
FB 181 Table 2,1973,"1,006,431"
FB 181 Table 2,1974,"938,118"
FB 181 Table 2,1975,"979,826"
FB 181 Table 2,1976,"1,047,761"
FB 181 Table 2,1977,"1,045,147"
FB 181 Table 2,1978,"918,035"
FB 181 Table 2,1979,"849,554"
FB 181 Table 2,1980,"1,010,527"
FB 181 Table 2,1981,"971,959"
FB 181 Table 2,1982,"846,765"
FB 181 Table 2,1983,"649,602"
FB 181 Table 2,1984,"496,296"
FB 181 Table 2,1985,"367,012"
FB 181 Table 2,1986,"422,585"
FB 181 Table 2,1987,"422,765"
FB 181 Table 2,1988,"495,421"
FB 181 Table 2,1989,"487,055"
FB 181 Table 2,1990,"395,657"
FB 181 Table 2,1991,"371,534"
FB 181 Table 2,1992,"299,247"
FB 181 Table 2,1993,"318,329"
FB 181 Table 2,1994,"330,503"
FB 181 Table 2,1995,"430,244"
FB 181 Table 2,1996,"462,176"
FB 181 Table 2,1997,"492,555"
FB 181 Table 2,1998,"282,180"
FB 181 Table 2,1999,"473,985"
