"Licenses","X2000","X","X2001","X.1","X2002","X.2","X2003","X.3","X2004","X2005","X2006","X2007","X2008","X2009","X.4"
"COMM FISHING LICENSE (R)","N/A",NA,"N/A",NA,"N/A",NA,"N/A",NA,"6,325","5,959","5,683","5,781","5,348",NA,"5,467"
"COMM FISHING LICENSE (NR)","1,145",NA,"1,055",NA,"961",NA,"931",NA,"859","771","677","684","664",NA,"682"
"COMM FISHING - CREWMEMBER (R)","3,931",NA,"3,688",NA,"3,553",NA,"3,473",NA,NA,"N/A","N/A","N/A","N/A",NA,"N/A"
"COMM FISHING - OPERATOR (R)","3,654",NA,"3,536",NA,"3,472",NA,"3,261",NA,"N/A","N/A","N/A","N/A","N/A",NA,"N/A"
"COMM FISHING - CREWMEMBER UPGRADE (R)","85",NA,"72",NA,"62",NA,"57",NA,"N/A","N/A","N/A","N/A","N/A",NA,"N/A"
"COMM BOAT REGISTRATION (R)","4,289",NA,"4,155",NA,"3,680",NA,"3,506",NA,"3,326","3,205","3,062","3,003","2,916",NA,"2,873"
"COMM BOAT REGISTRATION (NR)","461",NA,"429",NA,"361",NA,"325",NA,"304","290","288","291","301",NA,"289"
"COMM PASSENGER FISHING VESSEL","402",NA,"416",NA,"433",NA,"432",NA,"450","451","445","450","431",NA,"434"
"COMM PASSENGER FISHING VESSEL W/SALMON","34",NA,"34",NA,"39",NA,"32",NA,"N/A","N/A","N/A","N/A","N/A",NA,"N/A"
"COMM AIRCRAFT REGISTRATION","16",NA,"10",NA,"12",NA,"14",NA,"12","10","6","7","9",NA,"8"
"COMM SALMON STAMP","1,944",NA,"1,839",NA,"1,865",NA,"1,720",NA,"1,764","1,697","1,557","2,174","1,308",NA,"1,244"
"JOHN DOE SALMON STAMP","315",NA,"295",NA,"345",NA,"259",NA,"335","299","172","795","102",NA,"33"
"JUNIOR COMM FISH LICENSE","47",NA,"45",NA,"55",NA,"51",NA,"N/A","N/A","N/A","N/A","N/A",NA,"N/A"
"JUNIOR COMM SALMON STAMP","10",NA,"13",NA,"N/A",NA,"N/A",NA,"N/A","N/A","N/A","N/A","N/A",NA,"N/A"
"COMM OCEAN ENHANCEMENT STAMP","753",NA,"798",NA,"810",NA,"807",NA,"785","818","794","788","793",NA,"795"
"Limited Entry & Restricted Access","",NA,"",NA,"",NA,"",NA,"","","","","",NA,""
"CALIFORNIA HALIBUT BOTTOM TRAWL VESSEL PERMIT","N/A",NA,"N/A",NA,"N/A",NA,"N/A",NA,"N/A","N/A","62","59","52",NA,"51"
"DEEPER NEARSHORE SPECIES FISHERY PERMIT","N/A",NA,"N/A",NA,"N/A",NA,"293",NA,"276","259","249","239","231",NA,"220"
"DRIFT GILL NET SHARK/SWORDFISH PERMIT","127",NA,"114",NA,"106",NA,"100",NA,"96","90","88","86","84",NA,"84"
"DUNGENESS CRAB VESSEL PERMIT (R)","589",NA,"588",NA,"577",NA,"573",NA,"537","526","518","505","508",NA,"502"
"DUNGENESS CRAB VESSEL PERMIT (NR)","68",NA,"66",NA,"65",NA,"61",NA,"73","77","84","87","81",NA,"79"
"FINFISH TRAP PERMIT","146",NA,"123",NA,"112",NA,"67",NA,"45","N/A","N/A","N/A","N/A",NA,"N/A"
"GENERAL GILL/TRAMMEL NET PERMIT","232",NA,"223",NA,"209",NA,"193",NA,"187","172","166","160","154",NA,"150"
"HERRING GILL NET PERMIT(R)","336",NA,"333",NA,"329",NA,"320",NA,"308","289","254","211","200",NA,"189"
"HERRING GILL NET PERMIT(NR)","121",NA,"119",NA,"118",NA,"111",NA,"106","97","60","46","45",NA,"42"
"HERRING STAMP","414",NA,"409",NA,"404",NA,"390",NA,"374","346","274","220","210",NA,"201"
"HERRING ROUND HAUL PERMIT","N/A",NA,"N/A",NA,"N/A",NA,"N/A",NA,"N/A","N/A","N/A","N/A","N/A",NA,"N/A"
"HERRING FRESH FISH MARKET","N/A",NA,"N/A",NA,"N/A",NA,"N/A",NA,"N/A","N/A","N/A","N/A","N/A",NA,"N/A"
"HERRING OCEAN WATERS","N/A",NA,"N/A",NA,"N/A",NA,"N/A",NA,"4","4","5","3","3",NA,"4"
"LOBSTER OPERATOR PERMIT","253",NA,"247",NA,"237",NA,"228",NA,"223","220","214","212","204",NA,"203"
"MARKET SQUID LIGHT BOAT OWNERS PERMIT","49",NA,"45",NA,"41",NA,"40",NA,"40","N/A","N/A","N/A","N/A",NA,"N/A"
"MARKET SQUID BRAIL PERMIT (T)","N/A",NA,"N/A",NA,"N/A",NA,"N/A",NA,"N/A","14","16","20","21",NA,"21"
"MARKET SQUID BRAIL PERMIT (NT)","N/A",NA,"N/A",NA,"N/A",NA,"N/A",NA,"N/A","0","0","0","0",NA,"0"
"MARKET SQUID LIGHT BOAT PERMIT (T)","N/A",NA,"N/A",NA,"N/A",NA,"N/A",NA,"N/A","61","59","55","54",NA,"54"
"MARKET SQUID LIGHT BOAT PERMIT (NT)","N/A",NA,"N/A",NA,"N/A",NA,"N/A",NA,"N/A","N/A","N/A","3","3",NA,"3"
"MARKET SQUID BRAIL (UPGRADE FROM LIGHTBOAT)","N/A",NA,"N/A",NA,"N/A",NA,"N/A",NA,"N/A","8","3","3","2",NA,"0"
"MARKET SQUID VESSEL PERMIT (T)","200",NA,"196",NA,"184",NA,"174",NA,"166","75","74","74","77",NA,"71"
"MARKET SQUID VESSEL PERMIT (NT)","N/A",NA,"N/A",NA,"N/A",NA,"N/A",NA,"N/A","14","12","12","11",NA,"9"
"MARKET SQUID VESSSEL PERMIT, EXPERIMENTAL (NT)","N/A",NA,"N/A",NA,"N/A",NA,"N/A",NA,"N/A","3","3","2","0",NA,"0"
"NEARSHORE PERMIT","N/A",NA,"N/A",NA,"N/A",NA,"N/A",NA,"N/A","N/A","N/A","N/A","N/A",NA,"N/A"
"NEARSHORE TRAP PERMIT","N/A",NA,"N/A",NA,"N/A",NA,"N/A",NA,"N/A","N/A","N/A","N/A","N/A",NA,"N/A"
"NEARSHORE FISHERY PERMIT","1,069",NA,"767",NA,"508",NA,"293",NA,"N/A","N/A","N/A","N/A","N/A",NA,"N/A"
"NEARSHORE FISHERY BYCATCH PERMIT","N/A",NA,"N/A",NA,"N/A",NA,"26",NA,"25","23","22","20","19",NA,"19"
"NEARSHORE FISHERY PERMIT - N. CENTRAL COAST","N/A",NA,"N/A",NA,"N/A",NA,"36",NA,"36","35","33","29","29",NA,"28"
"NEARSHORE FISHERY PERMIT - NORTH COAST","N/A",NA,"N/A",NA,"N/A",NA,"29",NA,"28","27","27","26","26",NA,"22"
