"Licenses","X1990","X1991","X","X1992","X1993","X.1","X1994","X.2","X1995","X.3","X1996","X.4","X1997","X.5","X1998","X.6","X1999"
"COMM FISHING LICENSE (R)","14,430","N/A",NA,"12,180","N/A",NA,"N/A",NA,"N/A",NA,"N/A",NA,"N/A",NA,"N/A",NA,"N/A"
"COMM FISHING LICENSE (NR)","N/A","N/A",NA,"N/A","751",NA,"835",NA,"945",NA,"1,190",NA,"1,158",NA,"1,221",NA,"1,270"
"COMM FISHING - CREWMEMBER (R)","N/A","7,758",NA,"N/A","5,618",NA,"5,501",NA,"5,318",NA,"4,848",NA,"4,335",NA,"4,128",NA,"3,986"
"COMM FISHING - OPERATOR (R)","25","6,590",NA,"N/A","4,963",NA,"4,911",NA,"4,874",NA,"4,683",NA,"4,289",NA,"4,077",NA,"3,805"
"COMM FISHING - CREWMEMBER UPGRADE (R)","N/A","N/A",NA,"N/A","N/A",NA,"N/A",NA,"N/A",NA,"N/A",NA,"150",NA,"136",NA,"88"
"COMM BOAT REGISTRATION (R)","6,621","6,744",NA,"6,221","5,136",NA,"5,166",NA,"4,995",NA,"4,856",NA,"4,531",NA,"4,341",NA,"4,344"
"COMM BOAT REGISTRATION (NR)","N/A","N/A",NA,"N/A","397",NA,"411",NA,"444",NA,"502",NA,"487",NA,"460",NA,"522"
"COMM PASSENGER FISHING VESSEL","728","564",NA,"515","375",NA,"391",NA,"363",NA,"354",NA,"343",NA,"361",NA,"384"
"COMM PASSENGER FISHING VESSEL W/SALMON","N/A","N/A",NA,"N/A","N/A",NA,"N/A",NA,"42",NA,"44",NA,"45",NA,"35",NA,"35"
"COMM AIRCRAFT REGISTRATION","N/A","N/A",NA,"9","22",NA,"19",NA,"23",NA,"21",NA,"17",NA,"15",NA,"13"
"COMM SALMON STAMP","4,705","4,155",NA,"3,444","3,455",NA,"3,056",NA,"3,224",NA,"2,435",NA,"2,273",NA,"1,986",NA,"1,957"
"JOHN DOE SALMON STAMP","N/A","N/A",NA,"N/A","N/A",NA,"N/A",NA,"N/A",NA,"378",NA,"335",NA,"244",NA,"296"
"JUNIOR COMM FISH LICENSE","110","100",NA,"69","61",NA,"62",NA,"67",NA,"75",NA,"69",NA,"54",NA,"48"
"JUNIOR COMM SALMON STAMP","22","11",NA,"8","14",NA,"8",NA,"14",NA,"13",NA,"9",NA,"2",NA,"4"
