"SPECIES","CA_JETTY_TOTAL_MORTALITY_NUM","CA_JETTY_TOTAL_MORTALITY_MT","CA_BEACH_TOTAL_MORTALITY_NUM","CA_BEACH_TOTAL_MORTALITY_MT","CA_CHARTER_TOTAL_MORTALITY_NUM","CA_CHARTER_TOTAL_MORTALITY_MT","CA_PRIVATE_TOTAL_MORTALITY_NUM","CA_PRIVATE_TOTAL_MORTALITY_MT","OR_CHARTER_TOTAL_MORTALITY_NUM","OR_CHARTER_TOTAL_MORTALITY_MT","OR_PRIVATE_TOTAL_MORTALITY_NUM","OR_PRIVATE_TOTAL_MORTALITY_MT","WA_CHARTER_TOTAL_MORTALITY_NUM","WA_CHARTER_TOTAL_MORTALITY_MT","WA_PRIVATE_TOTAL_MORTALITY_NUM","WA_PRIVATE_TOTAL_MORTALITY_MT"
"Albacore",,,,,,,,,2057,18.70139332790539990838620300735185093752,2964,26.32424854912505709750288476073042888075,11042,93.67374054002205071664829106945975744218,1120.97,9.5096407293197353914002205071664829107
"American Shad",,,,,,,,,,,3,.0001818
"Arrowtooth Flounder",,,,,,,,,3,.005715,2,.00381
"Bank Rockfish",,,,,4893.930830664,1.504176093551,240.1530925396,.0801299764701
"Barred Sandbass",6663.851524011,3.10908158497,2351.846585983,1.00489643588,522311.744291226,382.927488024177,108115.5018774497,94.2130434053214
"Barred Surfperch",51344.9935537076,9.2174543767096,190499.24013441,54.372768396867,,,229.1779632738,.0385425044021
"Bat Ray",1890.651701942,12.718389795155,838.444582827,5.76066187338,0,0,854.2390188073,5.535588439834
"Big Skate",0,0,,,82.953397842,0,9.003490898,0,0,0,15,.0843250000000000000000000000000000000001
"Bigmouth Sole",,,,,1658.557093274,.4615098789986,103.4248772411,.0290085693456
"Billfish Family",,,,,,,0,0
"Black And Yellow Rockfish",268.802276597,.10463317911,644.604572215,.201660777128,2320.856226256235294117647058823529411765,1.01895700803629411764705882352941176471,6483.471114033273594771241830065359477125,3.20200044589059581699346405228758169935,,,3,.00228642857142857142857142857142857142857
"Black Croaker",996.250512914,.249781437998,630.70902332,.17958840714,1644.035517172,.47815583916,225.7205689081,.0660418683428
"Black Hagfish",,,,,187.850958036,0
"Black Perch",27332.4196416619,6.8321549204763,23316.629115599,6.369873598204,338.298875398,.092603155738,3447.5403739531,1.3936220090584
"Black Rockfish",3367.7255655252,2.5044823626425,2369.808938479,1.423732509568,79555.2735940173139195489673633119530882,50.75196345585053410264382990588229974993,138882.391157034019282947964788994912782,118.432470922516256425387407271824800345,160854,176.213278050712292749358065293253192808,117023,127.661389001757020012904179578409567221,160163.3422,194.13001455371,59806.955,72.52741777886
"Blacksmith",391.219330276,.058959014727,84.307828173,.01071938858,37253.398436027,6.469911081602,990.4719180183,.1710341359588
"Blue Rockfish",628.3367926176,.4675712114555,2731.2863182,1.8780485953,469421.5100738298558170456001209022993464,238.464978556284425447973595545686253995,122373.3156065214488865525503124028902985,64.12225921595533719218274723187880935676,,,,,838.9104,.84444160554,1611.772,1.60713033594
"Blue Shark",,,,,,,,,4,.0387772972972972972972972972972972972972,45,.4362445945945945945945945945945945945942
"Bluntnose Sixgill Shark",,,0,0,,,0,0
"Bocaccio",86.5707102684,.0547826283255,,,211531.7799499571345437171524128045867176,196.089411025249367319636884854276158624,14463.6285890691798710823882448596407406,12.6468678637564648611495293417490213829,19,.03988214792942906150453320264641019358,6,.001547200000000000000000000000000000000004,266.7745,1.01795475264738805970149253731343283582,186.5866,.7119747811365671641791044776119402985075
"Bonefish",240.983358431,.120792295996,,,,,441.467774004,.2723333062514
"Bottomfish (Groundfish)",70.508465154,0,,,,,0,0
"Broomtail Grouper",,,,,,,0,0
"Brown Irish Lord",220.69982711,.03972596888,,,,,,,,,2,.001125
"Brown Rockfish",2537.4353047166,.9528341337866,20773.44140472,4.57901099368,88311.716051531028409090909090909090909,58.59026754408751268939393939393939393943,34958.5207828542401163419913419913419912,22.63589893125826822240259740259740259742,14,.0174764485981308411214953271028037383177,7,.00771515654205607476635514018691588785046
"Brown Smoothhound",1337.757392144,1.862387366745,1261.4180466,2.1308500787,304.696156241179304029304029304029304029,.4139155333660733516483516483516483516484,2127.938608834127358515369464274573763626,2.32396378400515509772465976845538889335
"Buffalo Sculpin",0,0,,,,,55.9513019611,.0292980011895,111,.0608885737618545837723919915700737618544,88,.0508619934668071654373024236037934668071
"Bull Sculpin",29.561273848,0
"Butter Sole",,,,,,,14.5791022364,.0090561672275,16,.00710779534883720930232558139534883720931,3,.00133271162790697674418604651162790697674
"C-O Sole",,,,,69.331097022,.015252841345
"Cabezon",2311.0112200679,3.3438891415147,9516.768904528,12.607239713546,6492.888611378507936507936507936507936508,11.78695074603761111111111111111111111111,11843.71991097876487003493582440950862,25.17582870108634416742614111035163666745,2768,7.68306928701346108658248246045477127646,3518,9.85503160119978136410908322572337438349,652.3844,1.63557098769,2578.0065,7.11837215275
"Calico Rockfish",49.133425055,.0031076891348,,,5119.9774851854,.289070670198436,123.506513867684705882352941176470588235,.005436364556469176470588235294117647058824
"Calico Surfperch",1411.091855135,.3800312955326,3387.81886818,1.354463216589
"California Butterflyray",,,,,,,0,0
"California Corbina",22649.888880589,12.9328811489551,9251.93627038,4.1434126089,,,215.268274154,.0960524041515
"California Flyingfish",,,,,,,57.194544021,0
"California Halibut",4281.9057905821,15.510885201478,6200.64894585,27.9121824462,10011.5487058648602658684751963489604556,50.36715305489212872409582686223053745274,34204.4306228864255369760123580157536018,140.888159183024718520048414685386621867,1,.00268719576719576719576719576719576719577
"California Lizardfish",70131.733357454,5.128308888982,,,106.91297528,.0064178843094,185.5629586536,.01429369967
"California Moray",65.031628544,0,,,,,0,0
"California Needlefish",104.27610161,.027585411105,0,0,,,0,0
"California Scorpionfish",29495.993516784,14.2384564683259,1020.65856746,.3590831365,268472.8331788432694681908100829096550912,122.315427905742196191370524695510462059,13791.7482733908407196132852480834300735,7.65657670611992654225937578044168194616
"California Sheephead",824.781134372,.607197910115,315.35451166,.19342207147,26651.638515459,29.317247225489,6491.2725563319,8.3296255594753
"California Skate",42.002034751,.045026181253,,,97.659797924,.10469130337,0,0
"Canary Rockfish",,,,,5252.948238558841587916587916587916587917,2.57055455652091666115416115416115416115,6525.129471414806757165361653440194814671,3.25522800843263914791924609596418853082,1511,1.13537879309412455955147168882387953567,2857,2.03282670631021042128040348748175139147,146.3454,.13841859152,1179.7453,1.10274522622
"Cancer Genus",,,,,,,14.227502917,0
"Chilipepper",,,,,23052.407348961,8.1578331084495,3162.2088786191,1.3619593648468,10,.00244862222222222222222222222222222222222
"China Rockfish",0,0,,,14512.7360748372666666666666666666666667,8.63583068828093333333333333333333333333,8316.607354742368550724637681159420289855,5.33486483736901670289855072463768115942,922,.9310534121771958762039705346683233369752,879,.9232503318000317797796420734857901934465,257.2729,.20588739075,1850.5742,1.47775985347
"Clinid Family",0,0,,,,,0,0
"Cod Family",,,,,,,,,,,,,63.07,.201792465,288.46,.92292777
"Copper Rockfish",943.286182826,.631664287472,,,58929.4998260520833333333333333333333333,45.28545653754851666666666666666666666667,15887.9198011678242857142857142857142857,16.84986860836392666666666666666666666666,1039,1.71288018575330262241549379678276503039,685,1.12234456224254134769963977433854189575,318.5625,.403890465,755.0577,.96049684094
"Cowcod",,,,,478.461469688,.947049613255,49.3866507438,.130769263448
"Deacon/Blue Rockfish Unknown",,,,,,,,,28075,20.92316715611366492517953326593887327839,13839,9.9293590904156483141709734910128324063
"Deepbody Anchovy",263.28528645,.0048268969182
"Diamond Turbot",331.489010501,.070221026399,,,,,18.278385455,.0056192831553
