Licenses,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
COMM FISHING LICENSE,$               40.00,$               40.00,$               40.00,$               40.00,$               40.00,$               40.00,$40.00&$50.00,$               50.00,$               50.00,$               50.00
COMM BOAT REGISTRATION,$             125.00,$             125.00,$             125.00,$             125.00,$             125.00,$             125.00,$125.00&$165.00,$             165.00,$             165.00,$             165.00
COMM PASSENGER FISHING VESSEL,$               40.00,$               40.00,$               40.00,$               40.00,$               40.00,$               40.00,$40.00&$50.00,$               50.00,$               50.00,$               50.00
COMM SALMON STAMP,$               10.00,$               10.00,$               10.00,$               10.00,$               30.00,$               25.00,$              30.00,$             260.00,$             260.00,$             260.00
JOHN DOE SALMON STAMP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ABALONE DIVING UPGRADE STAMP,N/A,N/A,N/A,N/A,N/A,N/A,$             250.00,N/A,N/A,N/A
AUGMENTED SALMON STAMP,N/A,N/A,N/A,$            125.00,$              55.00,$               55.00,$               55.00,$               55.00,N/A,N/A
AUGMENTED SALMON STAMP STUDENT,N/A,N/A,N/A,N/A,N/A,$              27.50,$               27.50,N/A,N/A,N/A
JUNIOR COMM FISH LICENSE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
STUDENT COMM FISH,N/A,N/A,N/A,N/A,N/A,$               20.00,$              20.00,$               25.00,$               25.00,$               25.00
STUDENT COMM SALMON STAMP,N/A,N/A,N/A,N/A,N/A,$               15.00,$               15.00,$             130.00,$            130.00,$            130.00
COMM OCEAN ENHANCEMENT STAMP,N/A,N/A,N/A,N/A,$               10.00,$               10.00,$               10.00,$               10.00,$              10.00,$              10.00
Limited Entry & Restricted Access,,,,,,,,,,
ABALONE DIVING PERMIT,$             200.00,$             200.00,$             200.00,$             200.00,$             200.00,$             200.00,$             200.00,$             250.00,$            250.00,$             250.00
CENTRAL CA - DRIFT GILL,N/A,N/A,$             150.00,$             150.00,$             150.00,$             150.00,$             150.00,N/A,N/A,N/A
DRIFT GILL NET SHARK/SWORDFISH PERMIT,N/A,N/A,N/A,N/A,$             150.00,$            150.00,$            150.00,$             250.00,$             250.00,$             250.00
EXPERIMENTAL DRIFT GILL NET - SWORDFISH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$            250.00,$             250.00,$            250.00
GENERAL GILL/TRAMMEL NET PERMIT,N/A,$               50.00,$              50.00,$               50.00,$               50.00,$              50.00,$               50.00,$              50.00,$               50.00,$              50.00
HERRING GILL NET PERMIT(R),N/A,N/A,N/A,N/A,N/A,N/A,$            200.00,$            200.00,$             200.00,$             200.00
HERRING GILL NET PERMIT(NR),N/A,N/A,N/A,N/A,N/A,N/A,$             300.00,$             300.00,$            300.00,$             300.00
HERRING ROUND HAUL PERMIT (R),N/A,N/A,N/A,N/A,N/A,N/A,$             300.00,$            300.00,$             300.00,$             300.00
HERRING ROUND HAUL PERMIT (NR),N/A,N/A,N/A,N/A,N/A,N/A,$             500.00,$             500.00,$             500.00,$             500.00
LOBSTER PERMIT,$             125.00,$            125.00,$            125.00,$            125.00,$             125.00,$             125.00,$             200.00,$             200.00,$             200.00,$            200.00
PINK SHRIMP TRAWL PERMIT,N/A,N/A,N/A,$               25.00,$               25.00,$               25.00,$               25.00,$              25.00,$               25.00,$              25.00
SALMON VESSEL PERMIT,$                 5.00,$                 5.00,$                3.00,$              30.00,$               30.00,$              30.00,$               30.00,$               30.00,$              30.00,$               30.00
SEA URCHIN DIVING PERMIT,N/A,N/A,N/A,N/A,N/A,N/A,$            250.00,$             250.00,$             250.00,$            250.00
Late Fees,,,,,,,,,,
SALMON VESSEL LATE FEE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$              25.00,$               25.00,$             100.00
Nonrestrictive Permits,,,,,,,,,,
ABALONE CREW MEMBER PERMIT,$            100.00,$            100.00,$             100.00,$            100.00,$             100.00,$            100.00,$            100.00,N/A,N/A,N/A
KELP LICENSE,$               15.00,$               15.00,$               15.00,$              20.00,$              15.00,$               15.00,$               15.00,N/A,N/A,N/A
KELP HARVESTER LICENSE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$              50.00,$               50.00,$               50.00
OYSTER PERMIT,$               25.00,$               25.00,$               25.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SEA URCHIN APPRENTICE PERMIT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$             250.00
SHARK PERMIT,$            150.00,$             150.00,$            150.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SPOT & RIDGEBACK PRAWN PERMIT,N/A,N/A,N/A,N/A,$               25.00,$              25.00,$               25.00,$              25.00,$               25.00,$              25.00
SWORDFISH PERMIT,$             150.00,$             150.00,$             150.00,$            150.00,$             150.00,$            150.00,150.00&$250.00,$            250.00,$             250.00,$             250.00
TRAP PERMIT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$              25.00,$               25.00,$               25.00
