Licenses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Aquaculture Registration (New),$        400.00,$        400.00,$        400.00,$        400.00,$        549.00,$       557.25,$       585.50,$        624.00,$        650.50,$       690.75
Aquaculture Registration (Renewal),$       200.00,$        200.00,$        200.00,$        200.00,$        275.00,$       279.25,$        293.25,$        312.50,$       325.75,$       346.00
Aquaculture Registration - Late Fee,N/A,N/A,N/A,N/A,N/A,$          50.00,$          52.50,$          56.00,$          58.50,$          62.25
Aquaculture Registration - Surcharge,$       300.00,$        300.00,$        300.00,$       300.00,$        412.00,$       418.25,$       439.50,$       468.25,$       488.25,$        518.50
Aquaculture Registration - Interest (per month ),$           2.00,$           2.00,$           2.00,$           2.00,$           2.75,N/A,N/A,N/A,N/A,N/A
Aquaculture Registration - Penalty,$          25.00,$          25.00,$         25.00,$         25.00,$          25.00,N/A,N/A,N/A,N/A,N/A
Commercial Hunting Club License,$       266.25,$        277.50,$        286.75,$        289.00,$        298.75,$       303.25,$        318.50,$        339.50,$        354.00,$       376.00
Commercial Hunt Club Lic - Additional Properties,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$        354.00,$       376.00
Dog Training Permit,$          2.75,$           2.75,$           3.00,3.00\40.75,$          42.00,N/A,N/A,N/A,N/A,N/A
Domesticated Game Bird Seals,$          0.03,$           0.03,$           0.03,$          0.03,$          0.03,$          0.03,$          0.03,$          0.03,$           0.03,$           0.03
Domesticated Game Breeder's License Class 1,$         13.00,$          13.50,$          14.00,$         14.00,$         14.50,$          14.75,$         15.50,$         16.50,$          17.25,$          18.25
Domesticated Game Breeder's License Class 2,$          64.50,$          67.25,$         69.50,$          70.00,$          72.25,$          73.25,$         77.00,$         82.00,$          85.50,$         90.75
Falconer Raptor Capture Permit (NR),$       209.00,$        218.00,$        225.25,$       227.00,$        234.50,$       238.00,$        250.00,$       266.50,$       277.75,$       295.00
Falconry License - Application Fee,$          9.25,$           9.75,$          10.00,$          10.00,$          10.25,$          10.50,$         11.00,$          11.75,$          12.25,$         13.00
Falconry License,$         50.50,$          52.75,$          54.50,$          55.00,$          56.75,$         57.50,$          60.50,$          64.50,$          67.25,$         71.50
Fallow Deer Farming Permit,$       211.00,$       220.00,$        227.25,$       229.00,$       236.75,$        240.25,$        252.50,$        269.00,$        280.50,$        298.00
Fallow Deer Farming Permit - Application Fee,$          31.75,$         33.00,$          34.00,$         34.25,$          35.50,$          36.00,$         37.75,$         40.25,$         42.00,$          44.50
Fallow Deer Farming Permit - Inspection Fee,$          84.50,$         84.50,$         84.50,$         84.50,$         84.50,$          84.50,$          84.50,$          84.50,$         84.50,$          84.50
Fully Protected Species Permit,N/A,N/A,N/A,$         40.75,$         42.00,$         42.75,$          45.00,$          48.00,$          50.00,$          53.00
Fur Agent License,$         56.50,$          59.00,$         61.00,$         61.50,$          63.50,$          64.50,$          67.75,$         72.25,$         75.25,$         80.00
Fur Dealer License,$       113.00,$       117.75,$        121.75,$       122.75,$       126.75,$       128.75,$       135.25,$       144.00,$       150.25,$       159.50
Game Bird Club Seals,$          0.05,$           0.05,$           0.05,$          0.05,$           0.05,$          0.05,$           0.05,$          0.05,$           0.05,$           0.05
Guide License (R),$         72.25,$         75.25,$         77.75,$         78.50,$       150.00,$        152.25,$        160.00,$        170.50,$        177.75,$        188.75
Guide License (NR),$       202.00,$        210.50,$        217.50,$        219.25,$       350.00,$        355.25,$       373.25,$        397.75,$        414.75,$        440.50
Licensed Guide Employee Registration,$         10.00,$          10.00,$          10.00,$          10.00,$          33.00,$          33.50,$          35.25,$          37.50,$          39.00,$         41.50
"Licensed Game Bird Club, Zone A - 500 acres or less",$       236.50,$       246.50,$        254.75,$        256.75,$       265.25,$       269.25,$       282.75,$       301.25,$        314.00,$       333.50
"Licensed Game Bird Club, Zone A - over 500 acres",$        315.00,$        328.50,$       339.50,$       342.25,$        353.75,$       359.00,$       377.25,$        402.00,$        419.25,$        445.25
"Licensed Game Bird Club, Zone B - 500 acres or less",$       236.50,$       246.50,$        254.75,$        256.75,$        265.25,$        269.25,$       282.75,$        301.25,$        314.00,$        333.50
"Licensed Game Bird Club, Zone B - over 500 acres",$       315.00,$        328.50,$        339.50,$        342.25,$        353.75,$        359.00,$       377.25,$        402.00,$        419.25,$       445.25
Lic. Domesticated Migratory Game Bird Shooting Area,$       129.00,$        134.50,$       139.00,$       140.25,$        145.00,$       147.25,$        154.75,$        165.00,$       172.00,$       182.75
Native Reptile Captive Propagation Permit,$         37.75,$         39.25,$          40.50,$         40.75,$          42.00,$         42.75,$          45.00,$          48.00,$          50.00,$          53.00
Native Reptile & Amphibian Permit (Take by Biol. Supply Hous,)$          62.75,$         65.50,$         67.75,$         68.25,$         70.50,$          71.50,$         75.00,$          80.00,$          83.50,$          88.75
Organizational Field Trial Permit,$          97.00,$        112.00,$       110.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Restricted Species Permit - Animal Care, Detrimental",$       299.00,$       311.75,$       322.25,$       324.75,$        335.50,$       340.50,$       357.75,$        381.25,$        397.50,$       422.25
"Restricted Species Permit - Animal Care, Welfare",$          35.75,$         37.25,$         38.50,$         38.75,$          40.00,$          40.50,$         42.50,$          45.25,$         47.25,$         50.25
Restricted Species Permit - Application Fee (Amended or Rene,$a l )        31.00,$         32.25,$         33.25,$         33.50,$          34.50,$         41.00,$         43.00,$         45.75,$          47.75,$          50.75
"Restricted Species Permit - AZA, Detrimental",$       299.00,$       311.75,$       322.25,$       324.75,$       335.50,$        340.50,$       357.75,$        381.25,$        397.50,$        422.25
Restricted Species Permit - Broker/Dealer (R),$       299.00,$        311.75,$       322.25,$       324.75,$        335.50,$       340.50,$        357.75,$        381.25,$       397.50,$        422.25
Restricted Species Permit - Broker/Dealer (NR),$       598.00,$       623.50,$        644.25,$       649.50,$       671.25,$       681.25,$        715.75,$        762.75,$        795.25,$        844.50
Restricted Species Permit - Exhibiting (R),$        299.00,$       311.75,$       322.25,$       324.75,$       335.50,$        340.50,$       357.75,$        381.25,$        397.50,$        422.25
Restricted Species Permit - Exhibiting (NR),$       598.00,$        623.50,$        644.25,$       649.50,$        671.25,$       681.25,$        715.75,$       762.75,$        795.25,$        844.50
"Restricted Species Permit - Inspection Fee (ExceptAquaculture & Fish)",$        103.25,$        107.75,$        111.25,$        112.25,$       116.00,$        136.25,$        143.25,$        152.75,$        159.25,$       169.00
