Licenses,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Resident Hunting     (Annual),$          39.50,$         40.25,$          41.50,$         42.50,$         43.00,$          43.50,$          43.50,$          43.50,$          44.75,$          46.25
Lifetime Hunting*,$             -,$            -,$             -,$             -,$            -,$             -,$            -,$            -,$             -,$             -
Junior Hunting     (Annual),$         10.25,$          10.50,$         10.75,$         11.00,$          11.25,$          11.50,$         11.50,$          11.50,$         11.75,$          12.25
Lifetime Junior Hunting*,$            -,$             -,$            -,$             -,$            -,$             -,$             -,$             -,$             -,$             -
Disabled Veteran Hunting,$            6.25,$            6.25,$            6.50,$            6.75,$            6.75,$            6.75,$           6.75,$            6.75,$            7.00,$            7.25
Recovering Service Member,$             -,$             -,$            -,$           6.75,$            6.75,$           6.75,$           6.75,$           6.75,$           7.00,$            7.25
Non-Resident Hunting     (Annual),$       137.75,$        140.00,$       144.00,$        147.75,$       149.50,$        151.50,$        151.50,$       152.00,$        156.50,$       161.50
Non-Resident 1-Day Hunting,$          19.00,$          19.25,$          19.75,$          20.25,$          20.50,$          20.75,$         20.75,$          20.75,$          21.25,$          22.00
Non-Resident 2-Day Hunting,$          39.50,$          40.25,$          41.50,$          42.50,$          43.00,$          43.50,$         43.50,$          43.50,$          44.75,$         46.25
"",,,,,,,,,,
"",,,,,,,,,,
Resident First Deer Tag,$         22.50,$          23.00,$         23.75,$         24.25,$          24.50,$          28.75,$          28.75,$          28.75,$         29.50,$          30.50
Non-Resident First Deer Tag,$       229.25,$        233.00,$        239.50,$       245.75,$       248.50,$        255.75,$       255.75,$       256.50,$        263.75,$        272.50
Resident Second Deer Tag,$         29.00,$          29.50,$         30.25,$         31.00,$         31.25,$         35.75,$          35.75,$          35.75,$         36.75,$         38.00
Non-Resident Second Deer Tag,$        229.25,$        233.00,$        239.50,$        245.75,$        248.50,$       255.75,$       255.75,$       256.50,$        263.75,$       272.50
Lifetime Deer Tag*,$             -,$            -,$            -,$             -,$             -,$             -,$            -,$             -,$             -,$             -
Duplicate/Exchange Deer Tag,$            8.75,$            9.00,$           9.25,$            9.50,$            9.50,$            9.75,$           9.75,$           9.75,$          10.00,$         10.25
"",,,,,,,,,,
"",,,,,,,,,,
Resident Pronghorn Antelope Tag,$        126.25,$        128.25,$        131.75,$        135.25,$        136.75,$        138.50,$        138.50,$        138.75,$        142.75,$        147.50
Resident Pronghorn Antelope Tag (Junior),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$         20.00
Non-Resident Pronghorn Antelope Tag,$       390.75,$        397.25,$        408.50,$       419.25,$        424.00,$       429.50,$       429.50,$        430.75,$       443.25,$        457.75
Resident Bighorn Sheep Tag,$        357.50,$        363.50,$        373.75,$        383.50,$        388.00,$        393.00,$        400.00,$        401.00,$        412.75,$        426.25
Non-Resident Bighorn Sheep Tag,$        500.00,$        500.00,$        500.00,$        500.00,$        500.00,$        500.00,"$     1,500.00","$     1,500.00","$     1,548.00","$     1,598.25"
Resident Elk Tag,$        379.25,$        385.50,$        396.50,$        406.75,$        411.50,$        417.00,$        417.00,$        418.00,$        430.25,$        444.25
Resident Elk Tag (Junior),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$         20.00
Non-Resident Elk Tag,"$     1,172.50","$    1,192.25","$     1,226.00","$     1,258.00","$    1,272.50","$     1,289.25","$    1,289.25","$     1,292.75","$     1,330.50","$     1,373.75"
"",,,,,,,,,,
"",,,,,,,,,,
Resident Antelope Tag Drawing Application,Not Avail.,$           7.50,$           7.50,$            7.50,$            7.50,$            7.50,$            7.50,$           7 .50,$            7.50,$           7 .50
Non-Resident Antelope Tag Drawing Application,Not Avail.,$           7.50,$           7.50,$            7.50,$            7.50,$            7.50,$            7.50,$           7 .50,$            7.50,$           7 .50
Resident Bighorn Sheep Tag Drawing Application,Not Avail.,$            7.50,$            7.50,$            7.50,$           7.50,$            7.50,$            7.50,$           7 .50,$           7.50,$           7 .50
Non-Resident Bighorn Sheep Tag Drawing Application,Not Avail.,$           7.50,$           7.50,$           7.50,$            7.50,$            7.50,$            7.50,$           7 .50,$            7.50,$           7 .50
Resident Elk Tag Drawing Application,Not Avail.,$            7.50,$            7.50,$           7.50,$            7.50,$            7.50,$           7.50,$           7 .50,$            7.50,$           7 .50
Non-Resident Elk Tag Drawing Application,Not Avail.,$           7.50,$           7.50,$           7.50,$            7.50,$           7.50,$           7.50,$           7 .50,$            7.50,$           7 .50
"Elk, Antelope, Sheep Tag Return Processing Fee",$         25.00,$         25.50,$         26.25,$         27.00,$          27.25,$          27.50,$          27.50,$          27.50,$          28.25,$         29.25
"Elk, Antelope, Sheep Drawing Applications",$            7.50,See Above,See Above,See Above,See Above,See Above,See Above,See Above,See Above,See Above
"",,,,,,,,,,
"",,,,,,,,,,
Fundraising Deer Tag Random Drawing,N/A,$           5.00,$            5.25,$           5.50,$            5.50,$           5.50,$            5.50,$            5.50,$            5.75,$           6 .00
Fundraising Bighorn Sheep Tag Random Drawing,N/A,N/A,$           5.25,$            5.50,$            5.50,$            5.50,$           5.50,$            5.50,$            5.75,$           6 .00
Fundraising Antelope Tag Random Drawing,N/A,N/A,$            5.25,$           5.50,$           5.50,$            5.50,$            5.50,$           5.50,$            5.75,$           6 .00
Fundraising Elk Tag Random Drawing,N/A,$            5.00,$           5.25,$           5.50,$            5.50,$            5.50,$           5.50,$           5.50,$           5.75,$           6 .00
"",,,,,,,,,,
"",,,,,,,,,,
Licenses,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Resident Bear Tags (Junior),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$         24.25
Non-Resident Bear Tags,$       241.75,$       245.75,$       252.75,$       259.25,$        262.25,$        269.75,$        269.75,$        270.50,$       278.25,$       287.50
"",,,,,,,,,,
"",,,,,,,,,,
Resident Wild Pig Tag,$          19.00,$         19.25,$          19.75,$          20.25,$          20.50,$          20.75,$         20.75,$          20.75,$         21.25,$          22.00
Non-Resident Wild Pig Tag,$         63.50,$         64.50,$          66.25,$         68.00,$         68.75,$         69.75,$          69.75,$          70.00,$         72.00,$          74.25
Lifetime Wild Pig Tags*,$            -,$             -,$             -,$             -,$            -,$             -,$             -,$             -,$             -,$             -
"",,,,,,,,,,
"",,,,,,,,,,
Bobcat Hunting Tags**,$          14.00,$          14.25,$            2.95,$            3.00,$           3.00,$            3.00,$           3.00,$            3.00,$           3.00,$            3.00
Bobcat Shipping Tags,$            3.00,$            3.00,$            3.00,$            3.00,$            3.00,N/A,N/A,N/A,N/A,N/A
"",,,,,,,,,,
"",,,,,,,,,,
Duck Validation,$         17.25,$         17.50,$         18.00,$          18.50,$         18.75,$         19.00,$          19.00,$          19.00,$          19.50,$         20.25
Collector Duck Stamp,$         17.25,$         17.50,$          18.00,$          18.50,$         18.75,$          19.00,$          19.00,$          19.00,$          19.50,$         20.25
Lifetime Duck Validation*,$            -,$             -,$            -,$             -,$             -,$             -,$             -,$             -,$            -,$            -
