Licenses,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
COMM FISHING LICENSE,"20,363","18,862","19,176","15,509","14,457","14,634","14,837","14,458","15,228","15,151"
COMM BOAT REGISTRATION,"9,229","8,427","8,173","8,282","7,678","7,188","7,049","6,661","6,710","6,704"
COMM PASSENGER FISHING VESSEL,454,441,500,469,463,587,617,593,624,732
COMM SALMON STAMP,"10,944","8,837","8,447","5,407","4,086","6,690","5,697","5,034","5,452","5,431"
JOHN DOE SALMON STAMP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ABALONE DIVING UPGRADE STAMP,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A
AUGMENTED SALMON STAMP,N/A,N/A,N/A,"5,054","4,607","5,248","5,355",0,N/A,N/A
AUGMENTED SALMON STAMP STUDENT,N/A,N/A,N/A,N/A,N/A,25,26,N/A,N/A,N/A
JUNIOR COMM FISH LICENSE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
STUDENT COMM FISH,N/A,N/A,N/A,N/A,N/A,50,43,47,239,138
STUDENT COMM SALMON STAMP,N/A,N/A,N/A,N/A,N/A,25,22,21,65,39
COMM OCEAN ENHANCEMENT STAMP,N/A,N/A,N/A,N/A,989,"1,258","1,435","1,179","1,120","1,236"
Limited Entry & Restricted Access,,,,,,,,,,
ABALONE DIVING PERMIT,174,173,174,167,161,130,130,133,123,124
CENTRAL CA - DRIFT GILL,N/A,N/A,228,0,33,33,7,N/A,N/A,N/A
DRIFT GILL NET SHARK/SWORDFISH PERMIT,N/A,N/A,N/A,N/A,226,229,251,218,207,189
EXPERIMENTAL DRIFT GILL NET - SWORDFISH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27,26,23
GENERAL GILL/TRAMMEL NET PERMIT,N/A,341,460,656,868,"1,052",920,800,742,665
HERRING GILL NET PERMIT(R),N/A,N/A,N/A,N/A,N/A,N/A,339,344,345,346
HERRING GILL NET PERMIT(NR),N/A,N/A,N/A,N/A,N/A,N/A,72,76,75,74
HERRING ROUND HAUL PERMIT (R),N/A,N/A,N/A,N/A,N/A,N/A,26,26,26,26
HERRING ROUND HAUL PERMIT (NR),N/A,N/A,N/A,N/A,N/A,N/A,17,17,17,17
LOBSTER PERMIT,308,363,374,416,450,353,378,343,310,370
PINK SHRIMP TRAWL PERMIT,N/A,N/A,N/A,70,82,61,97,145,157,161
SALMON VESSEL PERMIT,"7,744",699,"5,964","4,626","4,134","3,903","3,749","3,497","3,488","3,461"
SEA URCHIN DIVING PERMIT,N/A,N/A,N/A,N/A,N/A,N/A,212,938,715,644
Late Fees,,,,,,,,,,
SALMON VESSEL LATE FEE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,486,475,187
Nonrestrictive Permits,,,,,,,,,,
ABALONE CREW MEMBER PERMIT,111,107,116,91,84,76,44,N/A,N/A,N/A
KELP LICENSE,47,51,50,15,22,15,24,N/A,N/A,N/A
KELP HARVESTER LICENSE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,40,47
OYSTER PERMIT,20,20,14,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SEA URCHIN APPRENTICE PERMIT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87
SHARK PERMIT,171,192,185,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SPOT & RIDGEBACK PRAWN PERMIT,N/A,N/A,N/A,N/A,66,70,64,93,91,89
SWORDFISH PERMIT,410,429,317,185,153,146,159,134,104,88
TRAP PERMIT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,652,791,"1,022"
TOTAL COMMERCIAL FISHING,"49,975","38,942","44,178","40,947","38,559","41,773","41,573","35,930","37,171","37,051"
