Licenses,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
FISH BUSINESS (MULTIFUNCTION),213,210,221,210,237,233,227,222,236,221
FISH IMPORTER,133,138,150,136,127,116,125,116,103,101
FISH PROCESSOR,45,52,41,34,34,37,35,34,35,29
FISH RECEIVER,241,248,269,270,249,271,250,250,252,246
FISH WHOLESALER LICENSE,270,254,251,248,238,233,237,232,213,204
FISHERMAN'S RETAILER,353,354,376,363,338,372,326,338,348,365
LIVE FRESH WATER BAIT LICENSE,167,139,125,119,110,112,104,106,100,97
MARINE AQUARIA RECEIVERS LICENSE,6,6,7,7,8,9,9,11,10,9
SPORT-CAUGHT FISH EXCHANGE,21,22,21,16,15,17,15,13,12,9
TOTAL COMMERCIAL FISH BUSINESS,"1,449","1,423","1,461","1,403","1,356","1,400","1,328","1,322","1,309","1,281"
