Licenses,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aquaculture Registration (New),12,6,10,11,8,5,7,7,25,3
Aquaculture Registration (Renewal),175,153,148,146,143,136,131,132,133,104
Aquaculture Registration - Late Fee,11,12,13,20,8,11,9,33,16,16
Aquaculture Registration - Surcharge,74,66,66,66,68,63,60,64,48,52
Commercial Hunting Club License (1 Property),62,62,61,51,47,46,46,45,44,43
Commercial Hunting Club License (2-5 Properties),10,10,12,12,10,11,11,13,15,14
Commercial Hunting Club License (6-10 Properties),1,0,1,2,1,1,1,1,2,2
Commercial Hunting Club License (11 or More Properties),1,2,1,1,1,1,2,2,2,1
Commercial Native Rattlesnake (New),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1
Commercial Native Rattlesnake (Renewal),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
Commercial Native Rattlesnake Inspection Fee,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1
Domesticated Game Bird Seals,"35,039","25,950","26,450","21,500","15,486","18,601","21,250","15,274","19,200","14,600"
Domesticated Game Breeder's License Class 1,187,164,157,158,149,121,111,105,102,105
Domesticated Game Breeder's License Class 2,42,37,33,30,27,25,22,25,28,24
Domesticated Game Mammal Tags,"1,600","1,050",0,10,0,0,0,0,0,0
Falconer Raptor Capture Permit (NR),0,0,1,0,0,0,0,0,0,0
Falconry License - Application Fee,622,606,650,670,613,619,634,664,676,691
Falconry License,577,587,616,634,612,615,631,660,675,689
Falconry Inspection Fee (1-5 Enclosures),0,0,0,6,30,61,60,67,54,60
Falconry Additional Inspection Fee (Per Enclosures Over 5),0,0,0,0,0,3,0,1,0,0
Fallow Deer Farming Permit,10,10,10,11,9,7,7,7,7,6
Fallow Deer Farming Permit - Application Fee,0,0,2,1,0,2,1,0,0,0
Fallow Deer Farming Permit - Inspection Fee,2,2,3,3,3,3,4,3,3,3
Fully Protected Species Permit,0,0,2,0,0,0,0,0,1,0
Fur Agent License,0,0,0,1,2,2,1,1,0,0
Fur Dealer License,7,5,4,3,4,3,4,4,5,3
Game Bird Club Seals,"210,100","221,300","204,900","209,600","190,600","152,410","169,100","129,096","154,400","162,000"
Guide License (R),"1,178","1,176","1,153","1,158","1,134","1,141","1,196","1,219","1,278","1,287"
Guide License (NR),58,58,75,61,62,22,60,56,50,48
Lands Pass - 1-Day,N/A,214,560,557,"4,662","9,184","10,333","9,353","12,320","18,173"
Lands Pass - Annual,N/A,31,187,161,191,282,384,404,"2,006",990
Licensed Guide Employee Registration,36,40,45,44,29,40,36,38,43,45
"Licensed Game Bird Club, Zone A - 500 acres or less",30,20,20,19,18,12,15,15,13,12
"Licensed Game Bird Club, Zone A - over 500 acres",35,33,32,29,27,25,23,19,17,15
"Licensed Game Bird Club, Zone B - 500 acres or less",23,17,14,17,17,15,15,13,12,14
"Licensed Game Bird Club, Zone B - over 500 acres",32,32,34,29,28,23,26,23,21,18
Lic. Domesticated Migratory Game Bird Shooting Area,2,2,2,2,2,3,3,2,2,2
Native Reptile Captive Propagation Permit,73,64,60,55,52,47,46,38,35,40
Native Reptile & Amphibian Permit (Take by Biol. Supply House),1,1,1,1,1,1,1,2,0,2
"Restricted Species Permit - Animal Care, Detrimental",6,7,5,2,1,2,1,1,0,0
"Restricted Species Permit - Animal Care, Welfare",16,14,10,10,9,10,8,8,7,7
Restricted Species Permit - Application Fee (Amended or Renewal),323,286,325,282,247,286,277,266,276,281
Restricted Species Permit - Application Fee (New),N/A,26,27,40,14,17,10,11,6,8
Restricted Species Permit - Aquaculture,N/A,1,0,1,1,1,0,1,1,1
"Restricted Species Permit - AZA, Detrimental",25,21,20,17,19,20,22,20,20,20
Restricted Species Permit - Broker/Dealer (R),6,3,7,6,5,5,5,3,4,4
Restricted Species Permit - Broker/Dealer (NR),3,1,1,2,1,1,2,1,1,1
Restricted Species Permit - ELE & MOU Fee,N/A,N/A,N/A,20,34,35,27,6,14,30
Restricted Species Permit - Exhibiting (R),114,94,101,96,93,104,103,102,105,94
Restricted Species Permit - Exhibiting (NR),16,21,18,16,10,18,10,8,9,12
Restricted Species Permit - Fish,N/A,10,3,35,9,11,8,11,8,1
Restricted Species Permit - Inspection Fee (Except Aquaculture & Fish),5,6,6,5,0,N/A,0,0,6,0
Restricted Species Permit - Inspection Fee (Aquaculture & Fish),N/A,12,2,1,0,0,0,0,0,0
Restricted Species Permit - Inspection Fee (1-5 Enclosures),N/A,N/A,N/A,39,98,126,112,97,104,97
Restricted Species Permit - Inspection Fee (6-25 Enclosures),N/A,N/A,N/A,27,68,77,72,66,65,69
Restricted Species Permit - Inspection Fee (26-50 Enclosures),N/A,N/A,N/A,9,16,21,18,18,21,20
Restricted Species Permit - Inspection Fee (51-100 Enclosures),N/A,N/A,N/A,1,13,12,11,10,11,10
Restricted Species Permit - Inspection Fee (101+ Enclosures),N/A,N/A,N/A,1,2,1,2,2,7,1
Restricted Species Permit - Native Species Exhibiting,20,20,24,29,26,38,26,19,22,27
Restricted Species Permit - Nuisance Bird Abatement (R),8,6,7,0,4,3,3,2,1,2
Restricted Species Permit - Nuisance Bird Abatement (NR),1,0,0,0,0,0,0,0,0,0
"Restricted Species Permit - Research, Detrimental",40,35,39,41,36,37,32,35,32,36
Restricted Species Permit - Shelter,24,32,42,35,36,37,38,29,32,30
Restricted Species Permit - Single Event Breeding,3,1,1,1,2,3,1,0,1,1
Scientific Collecting Permit Application Fee,N/A,N/A,0,810,848,474,526,676,419,N/A
Scientific Collecting Permit Application Fee (Student),N/A,N/A,0,180,153,130,111,118,83,N/A
Scientific Collecting Permit Amendment Fee (Student),N/A,N/A,0,14,13,16,12,7,4,N/A
Scientific Collecting Permit Amendment Fee,3,2,8,83,121,171,142,171,144,N/A
Scientific Collecting Permit,977,"1,026","1,114",453,896,505,436,589,554,N/A
Scientific Collecting Permit (NR),115,104,106,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Scientific Collecting Permit (Student),197,167,131,127,167,128,108,101,96,N/A
Scientific Collecting Permit General Use Application Fee - Inland Fisheries,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,31
Scientific Collecting Permit General Use Application Fee - Inland Fisheries (Student),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,2
Scientific Collecting Permit General Use Application Fee - Marine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,41
Scientific Collecting Permit General Use Application Fee - Marine (Student),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,4
Scientific Collecting Permit General Use Application Fee - Terrestrial Wildlife,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,28
Scientific Collecting Permit General Use Application Fee - Terrestrial Wildlife (Student),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,2
Scientific Collecting Permit Specific Use Application Fee,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,47,374
Scientific Collecting Permit Specific Use Application Fee (Student),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,70
Scientific Collecting Permit General Use Amendment Fee - Inland Fisheries,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0
Scientific Collecting Permit General Use Amendment Fee - Inland Fisheries (Student),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0
Scientific Collecting Permit General Use Amendment Fee - Marine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0
Scientific Collecting Permit General Use Amendment Fee - Marine (Student),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0
Scientific Collecting Permit General Use Amendment Fee - Terrestrial Wildlife,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0
Scientific Collecting Permit General Use Amendment Fee - Terrestrial Wildlife (Student),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0
Scientific Collecting Permit Specific Use Amendment Fee,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,94
Scientific Collecting Permit Specific Use Amendment Fee (Student),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,5
Scientific Collecting Permit General Use - Inland Fisheries,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,31
Scientific Collecting Permit General Use - Inland Fisheries (Student),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,2
Scientific Collecting Permit General Use  - Marine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,37
Scientific Collecting Permit General Use - Terrestrial Wildlife,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,27
Scientific Collecting Permit General Use - Terrestrial Wildlife (Student),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,5
Scientific Collecting Permit Specific Use,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,244
Scientific Collecting Permit Specific Use (Student),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,48
Trapping License (Junior) (Recreational),2,3,5,6,4,1,0,0,1,0
Trapping License (Junior) (Recreational/Pest Control),N/A,N/A,N/A,1,0,1,2,1,0,0
Trapping License (Junior) (Pest Control Only),N/A,N/A,N/A,0,1,1,0,0,0,0
Trapping License (R) (Recreational),589,727,746,153,132,109,49,44,43,32
Trapping License (R) (Recreational/Pest Control),N/A,N/A,N/A,102,108,82,69,87,58,50
Trapping License  (R) (Pest Control Only),N/A,N/A,N/A,588,607,552,584,571,623,607
Trapping License (NR) (Recreational),4,5,5,5,5,0,0,0,0,0
Trapping License (NR) (Recreational/Pest Control),N/A,N/A,N/A,0,2,0,0,1,0,0
Trapping License  (NR) (Pest Control Only),N/A,N/A,N/A,1,1,1,4,3,2,2
Warden Stamp,"6,037","3,200","2,443","4,036","3,744","4,469","4,058","4,871","5,685","4,630"
TOTALSPECIAL PERMITS,"258,556","257,553","240,531","242,356","221,601","191,059","211,127","165,351","199,788","206,198"
