Licenses,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Resident Hunting (Annual),"$      9,937,094","$      9,929,715","$    10,302,873","$   10,669,455","$    10,684,339","$   10,381,493","$   10,374,533","$    10,158,599","$    10,262,070","$   10,132,265"
Lifetime Hunting*,$                    -,$                     -,$                     -,$                     -,$                    -,$                    -,$                     -,$                    -,$                    -,$                    -
Junior Hunting (Annual),"$        210,330","$        215,807","$        220,429","$         230,549","$        222,953","$         297,597","$         273,355","$         256,462","$        248,195","$         244,216"
Lifetime Junior Hunting*,$                    -,$                    -,$                    -,$                    -,$                    -,$                     -,$                     -,$                     -,$                    -,$                    -
Disabled Veteran Hunting,"$           12,619","$          14,813","$           17,771","$           21,087","$           23,807","$          25,832","$          27,668","$          29,194","$           32,263","$           34,169"
Recovering Service Member,$                     -,$                     -,$                     -,$                 47,$                  81,$                 47,$                  47,$                  41,$                 21,$                  22
Non-Resident Hunting (Annual),"$        511,190","$         548,100","$        570,960","$        551,994","$        554,197","$         563,580","$        570,852","$        596,296","$        609,255","$        615,800"
Non-Resident 1-Day Hunting,"$          10,735","$            3,292","$             2,844","$             4,779","$             5,187","$            5,105","$             4,648","$            5,789","$             5,185","$             6,116"
Non-Resident 2-Day Hunting,"$         124,978","$        130,048","$        124,791","$        128,435","$        125,173","$         131,936","$        126,455","$         142,289","$        142,663","$         138,611"
Sub Total - Hunting Licenses,"$   10,806,946","$   10,841,774","$   11,239,667","$   11,606,346","$   11,615,736","$   11,405,589","$   11,377,558","$   11,188,668","$   11,299,652","$   11,171,199"
"",,,,,,,,,,
Resident First Deer Tag,"$      3,133,868","$      3,234,559","$      3,322,506","$      3,484,652","$      3,506,587","$      4,112,601","$     4,083,133","$      4,083,104","$      4,123,009","$     4,204,090"
Non-Resident First Deer Tag,"$        224,207","$        227,175","$        233,273","$         231,497","$        239,057","$        254,983","$         275,699","$         287,793","$         305,159","$        335,993"
Resident Second Deer Tag,"$      1,177,400","$     1,148,524","$      1,168,830","$      1,245,332","$     1,207,781","$      1,447,518","$     1,483,554","$     1,512,654","$     1,462,319","$      1,555,226"
Non-Resident Second Deer Tag,"$           14,672","$          12,582","$           11,975","$          13,762","$          13,668","$          14,322","$           16,624","$           14,621","$           17,671","$           19,348"
Lifetime Deer Tag*,$                    -,$                     -,$                     -,$                    -,$                    -,$                    -,$                    -,$                     -,$                    -,$                    -
Duplicate/Exchange Deer Tag,"$             4,953","$             1,935","$             2,220","$             1,815","$            2,109","$             2,321","$             1,492","$            1,609","$             1,410","$            1,579"
Sub Total - Deer Tags,"$     4,555,099","$     4,624,775","$     4,738,804","$     4,977,057","$     4,969,202","$     5,831,744","$     5,860,500","$     5,899,780","$     5,909,568","$     6,116,234"
"",,,,,,,,,,
Resident Pronghorn Antelope Tag,"$           29,164","$           30,780","$           31,620","$          26,780","$          26,940","$           34,902","$           37,395","$           33,439","$           34,974","$           33,483"
