Licenses,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,,,,,,,,,,,
Resident Fishing (Annual),"$56,318,645","$55,412,809","$29,129,400",-,-,-,-,-,-,-,,,,,,,,,,,
Resident Fishing Voucher (Annual),"$2,472,026","$2,107,755","$1,572,750",-,-,-,-,-,-,-,,,,,,,,,,,
Lifetime Fishing,$0,$0,$0,-,-,-,-,-,-,-,,,,,,,,,,,
Non-Resident Fishing (Annual),"$2,055,683","$2,095,453","$1,050,840",-,-,-,-,-,-,-,,,,,,,,,,,
Non-Resident Fishing (l0 Day),"$624,551","$788,873","$118,950",-,-,-,-,-,-,-,,,,,,,,,,,
1-Day Sportfishing (Res/Nonres),"$8,250,220","$7,794,407","$1,409,883",-,-,-,-,-,-,-,,,,,,,,,,,
2-Day Sportfishing (Res/Nonres),"$2,190,724","$1,979,404","$222,425",-,-,-,-,-,-,-,,,,,,,,,,,
Disabled Veteran Fishing,"$146,288","$153,884","$105,760",-,-,-,-,-,-,-,,,,,,,,,,,
Recovering Service Member,$90,$78,$40,-,-,-,-,-,-,-,,,,,,,,,,,
Reduced Fee Low Income Senior,"$9,443","$8,045","$7,368",-,-,-,-,-,-,-,,,,,,,,,,,
Free Sport Fishing,$0,$0,$0,-,-,-,-,-,-,-,,,,,,,,,,,
Sub Total - Licenses,"$72,067,667","$70,340,706","$33,617,416",-,-,-,-,-,-,-,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,
Second Rod Sport Fish Validation,"$5,056,315","$5,644,589","$3,706,463",-,-,-,-,-,-,-,,,,,,,,,,,
Lifetime Second Rod Sport Fish Validation,$0,$0,$0,-,-,-,-,-,-,-,,,,,,,,,,,
Spiny Lobster report Card (Full Season),"$434,682","$346,359",$0,-,-,-,-,-,-,-,,,,,,,,,,,
Abalone Report Card,$0,$0,$0,-,-,-,-,-,-,-,,,,,,,,,,,
North Coast Salmon Report Card,"$128,804","$130,464","$54,873",-,-,-,-,-,-,-,,,,,,,,,,,
Lifetime North Coast Salmon Report Card,$0,$0,$0,-,-,-,-,-,-,-,,,,,,,,,,,
Steelhead Report Card,"$358,513","$393,645","$250,317",-,-,-,-,-,-,-,,,,,,,,,,,
Lifetime Steelhead Report Card,$0,$0,$0,-,-,-,-,-,-,-,,,,,,,,,,,
Sturgeon Fishing Report Card,"$354,791","$387,473","$287,691",-,-,-,-,-,-,-,,,,,,,,,,,
Recreational Crab Trap Validation,N/A,"$52,319","$72,137",-,-,-,-,-,-,-,,,,,,,,,,,
Ocean Enhancement Validation,"$1,588,451","$1,697,993","$913,014",-,-,-,-,-,-,-,,,,,,,,,,,
Lifetime Ocean Enhancement Validation,$0,$0,$0,-,-,-,-,-,-,-,,,,,,,,,,,
Sub Total - Validations & Report Cards,"$7,921,555","$8,652,842","$5,284,496",-,-,-,-,-,-,-,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,
Lifetime Fishing Package - Age 0 to 9,"$255,740","$266,436","$68,708",-,-,-,-,-,-,-,,,,,,,,,,,
Lifetime Fishing Package - Age 10 to 39,"$410,175","$452,719","$160,190",-,-,-,-,-,-,-,,,,,,,,,,,
Lifetime Fishing Package - Age 40 to 61,"$393,020","$476,862","$157,199",-,-,-,-,-,-,-,,,,,,,,,,,
Lifetime Fishing Package - Age 62 and Over,"$201,929","$203,543","$75,168",-,-,-,-,-,-,-,,,,,,,,,,,
Lifetime Fishing Privilege Package,"$204,267","$220,800","$69,432",-,-,-,-,-,-,-,,,,,,,,,,,
Sub Total - Lifetime Fishing Packages,"$1,465,130","$1,620,359","$530,697",,,,,,,,,,,,,,,,,,
