Licenses,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aquaculture Registration (New),$       696.75,$        708.50,$        728.50,$       800.00,$        809.25,$       8 20.00,$       8 20.00,$       8 22.25,$       8 46.25,$       8 73.75
Aquaculture Registration (Renewal),$        349.00,$        354.75,$        364.75,$        500.00,$        505.75,$       5 12.50,$       5 12.50,$       5 14.00,$       5 29.00,$       5 46.25
Aquaculture Registration - Late Fee,$          62.75,$         63.75,$          65.50,$       150.00,$        151.75,$       1 53.75,$       1 53.75,$       1 54.25,$       1 58.75,$       1 64.00
Aquaculture Registration - Surcharge,$        523.00,$       531.75,$        546.75,$        600.00,$        607.00,$        615.00,$       615.00,$       6 16.75,$       6 34.75,$       6 55.25
Commercial Hunting Club License (1 Property),$        200.00,$        203.25,$        209.00,$       214.50,$        217.00,$        219.75,$        219.75,$       220.25,$       2 26.75,$       2 34.00
Commercial Hunting Club License (2-5 Properties),$       500.00,$        508.50,$        522.75,$       536.50,$       542.75,$       550.00,$        550.00,$        551.50,$       5 67.50,$       5 86.00
Commercial Hunting Club License (6-10 Properties),"$     1,000.00","$     1,016.75","$    1,045.50","$     1,072.75","$    1,085.25","$     1,099.50","$    1,099.50","$     1,102.50","$    1 ,134.50","$    1 ,171.25"
Commercial Hunting Club License (11 or More Properties),"$     2,000.00","$     2,033.50","$     2,091.00","$     2,145.50","$     2,170.25","$     2,199.00","$     2,199.25","$    2,205.25","$    2 ,269.50","$    2 ,343.25"
Commercial Native Rattlesnake (New),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$       2 08.50
Commercial Native Rattlesnake (Renewal),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$       1 13.00
Commercial Native Rattlesnake Inspection Fee,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$       6 06.50
Domesticated Game Bird Seals,$            0.03,$           0.03,$           0.03,$           0.03,$            0.03,$           0.03,$            0.03,$           0.03,$           0.03,$            0.03
Domesticated Game Breeder's License Class 1,$         18.50,$         18.75,$          19.25,$          19.75,$          20.00,$         2 0.25,$         2 0.25,$         2 0.25,$         2 0.75,$         2 1.50
Domesticated Game Breeder's License Class 2,$          91.50,$          93.00,$          95.75,$          98.25,$         99.50,$       1 00.75,$       1 00.75,$       1 01.00,$       1 04.00,$       1 07.50
Domesticated Game Mammal Tags,$           0.03,$           0.03,$            0.03,$            0.03,$           0.03,$            0.03,$            0.03,$            0.03,$            0.03,$            0.03
Falconer Raptor Capture Permit (NR),$        297.50,$        302.50,$        311.00,$        319.00,$        322.75,$        327.00,$       3 27.00,$       3 28.00,$       3 37.50,$       3 48.50
Falconry License - Application Fee,$          13.00,$          13.25,$          13.50,$         13.75,$          14.00,$         1 4.25,$         1 4.25,$         1 4.25,$         1 4.75,$         1 5.25
Falconry License,$          72.00,$          73.25,$         75.25,$          77.25,$          78.25,$         7 9.25,$         7 9.25,$         7 9.50,$         8 1.75,$         8 4.50
Falconry Inspection Fee (1-5 Enclosures),N/A,N/A,N/A,$        266.50,$        269.50,$       2 73.00,$       2 73.00,$       2 73.75,$       2 74.00,$       2 83.00
Falconry Additional Inspection Fee (Per Enclosures Over 5),N/A,N/A,N/A,$          12.75,$          13.00,$         1 3.25,$         1 3.25,$         1 3.25,$         1 3.75,$         1 4.25
Fallow Deer Farming Permit,$       300.50,$       305.50,$        314.25,$       322.50,$       326.25,$       3 30.50,$       3 30.50,$       3 31.50,$       3 41.25,$       3 52.25
Fallow Deer Farming Permit - Application Fee,$         45.00,$          45.75,$          47.00,$          48.25,$         48.75,$         4 9.50,$         4 9.50,$         4 9.75,$         5 1.25,$         5 3.00
Fallow Deer Farming Permit - Inspection Fee,$          84.50,$         84.50,$          84.50,$         84.50,$         84.50,$         8 4.50,$         8 4.50,$         8 4.50,$         8 4.50,$         8 4.50
Fully Protected Species Permit,$         53.50,$          54.50,$          56.00,$          57.50,$          58.25,$         5 9.00,$         5 9.00,$         5 9.25,$         6 1.00,$         6 3.00
Fur Agent License,$          80.75,$          82.00,$          84.25,$          86.50,$         87.50,$         8 8.75,$         8 8.75,$         8 9.00,$         9 1.50,$         9 4.50
Fur Dealer License,$       160.75,$        163.50,$       168.00,$       172.50,$        174.50,$       1 76.75,$       1 76.75,$       1 77.25,$       1 82.50,$       1 88.50
Game Bird Club Seals,$           0.05,$            0.05,$            0.05,$           0.05,$            0.05,$            0.05,$            0.05,$            0.05,$            0.05,$           0.05
Guide License (R),$        190.25,$        193.50,$        199.00,$       204.25,$        206.50,$       2 09.25,$       2 09.25,$       2 09.75,$       2 15.75,$       2 22.75
Guide License (NR),$       444.25,$       451.75,$        464.50,$        476.50,$       482.00,$       4 88.25,$       4 88.25,$       4 89.50,$       5 03.75,$       5 20.00
Lands Pass - 1-Day,N/A,$            4.00,$            4.00,$            4.00,$           4.00,$            4.00,$            4.00,$            4.00,$            4.00,$           4.25
Lands Pass - Annual,N/A,$         21.00,$          21.50,$          22.00,$         22.25,$         2 2.50,$         2 2.50,$         2 2.50,$         2 3.25,$         2 4.00
Licensed Guide Employee Registration,$          41.75,$          42.50,$          43.75,$         45.00,$         45.50,$         4 6.00,$         4 6.00,$         4 6.00,$         4 7.25,$         4 8.75
"Licensed Game Bird Club, Zone A - 500 acres or less",$       336.25,$       342.00,$        351.75,$       361.00,$        365.25,$       3 70.00,$       3 70.00,$       3 71.00,$       3 81.75,$       3 94.25
"Licensed Game Bird Club, Zone A - over 500 acres",$        449.00,$        456.50,$        469.50,$        481.75,$        487.25,$       4 93.75,$       4 93.75,$       4 95.00,$       5 09.50,$       5 26.00
"Licensed Game Bird Club, Zone B - 500 acres or less",$       336.25,$       342.00,$        351.75,$       361.00,$        365.25,$       3 70.00,$       3 70.00,$       3 71.00,$       3 81.75,$       3 94.25
"Licensed Game Bird Club, Zone B - over 500 acres",$        449.00,$        456.50,$       469.50,$       481.75,$        487.25,$       4 93.75,$       4 93.75,$       4 95.00,$       5 09.50,$       5 26.00
Lic. Domesticated Migratory Game Bird Shooting Area,$       184.25,$       187.25,$        192.50,$       197.50,$        199.75,$       2 02.50,$       2 02.50,$       2 03.00,$       2 09.00,$       2 15.75
Native Reptile Captive Propagation Permit,$          53.50,$          54.50,$          56.00,$          57.50,$         58.25,$         59.00,$         5 9.00,$         5 9.25,$         6 1.00,$         6 3.00
Native Reptile & Amphibian Permit (Take by Biol. Supply House),$          89.50,$          91.00,$         93.50,$          96.00,$          97.00,$          98.25,$          98.25,$         9 8.50,$       1 01.25,$       1 04.50
"Restricted Species Permit - Animal Care, Detrimental",$       426.00,$       433.25,$       445.50,$       457.00,$        462.25,$       468.25,$       468.25,$       469.50,$       4 83.25,$       4 99.00
"Restricted Species Permit - Animal Care, Welfare",$          50.75,$          51.50,$         53.00,$          54.50,$         55.25,$         56.00,$         5 6.00,$         5 6.25,$         5 8.00,$         6 0.00
Restricted Species Permit - Application Fee (Amended or Renewal),$          51.25,$          52.00,$          53.50,$          54.50,$          55.75,$          56.50,$         5 6.50,$         5 6.75,$         5 8.50,$         6 0.50
Restricted Species Permit - Application Fee (New),N/A,$        101.50,$        104.25,$        107.00,$       108.25,$       109.75,$       1 09.75,$       1 10.00,$       1 13.25,$       1 17.00
Restricted Species Permit - Aquaculture,N/A,$        433.25,$       445.50,$        457.00,$       462.25,$        468.25,$       4 68.25,$       4 69.50,$       4 83.25,$       4 99.00
