Licenses,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,
Aquaculture Registration (New),"$3,572","$1,841",$946,-,-,-,-,-,-,-,
Aquaculture Registration (Renewal),"$61,408","$62,127","$56,145",-,-,-,-,-,-,-,
Aquaculture Registration Late Fee,"$1,007","$2,073",$0,-,-,-,-,-,-,-,
Aquaculture Registration Surcharge,"$36,836","$37,274","$34,032",-,-,-,-,-,-,-,
Commercial Hunting Club License (1 Property),"$9,331","$9,614",$0,-,-,-,-,-,-,-,
Commercial Hunting Club License (2-5 Properties),"$9,584","$7,410",$0,-,-,-,-,-,-,-,
Commercial Hunting Club License (6-10 Properties),"$2,395","$1,234",$0,-,-,-,-,-,-,-,
Commercial Hunting Club License (11 or More Properties),"$2,395","$4,936",$0,-,-,-,-,-,-,-,
Commercial Native Rattlesnake (New),$0,$0,$0,-,-,-,-,-,-,-,
Commercial Native Rattlesnake (Renewal),$116,$119,$122,-,-,-,-,-,-,-,
Commercial Native Rattlesnake Inspection Fee,$0,$0,$0,-,-,-,-,-,-,-,
Domesticated Game Bird Seals (50 Per Book),$465,$470,$326,-,-,-,-,-,-,-,
Domesticated Game Breeder's License Class 1,"$2,354","$2,207","$1,953",-,-,-,-,-,-,-,
Domesticated Game Breeder's License Class 2,"$2,640","$2,945","$2,209",-,-,-,-,-,-,-,
Domesticated Game Mammal Tags,$0,$0,$0,-,-,-,-,-,-,-,
Falconer Raptor Capture Permit (NR),$0,$0,$0,-,-,-,-,-,-,-,
Falconry License Application Fee,"$10,308","$10,336",$0,-,-,-,-,-,-,-,
Falconry License,"$56,839","$56,070",$0,-,-,-,-,-,-,-,
Falconry Inspection Fee (1-5 Enclosures),"$6,653","$11,920",$0,-,-,-,-,-,-,-,
Falconry Additional Inspection Fee (Per Enclosures Over 5),$0,$0,$0,-,-,-,-,-,-,-,
Fallow Deer Farming Permit,"$1,800","$1,855","$1,525",-,-,-,-,-,-,-,
Fallow Deer Farming Permit Application Fee,$0,$56,$58,-,-,-,-,-,-,-,
Fallow Deer Farming Permit Inspection Fee,$254,$254,$254,-,-,-,-,-,-,-,
Fully Protected Species Permit,$0,$0,$0,-,-,-,-,-,-,-,
Fur Agent License,$0,$0,$0,-,-,-,-,-,-,-,
Fur Dealer License,$0,$0,$0,-,-,-,-,-,-,-,
Game Bird Club Seals (100 Per Book),"$8,190","$7,925",$0,-,-,-,-,-,-,-,
Guide License (R),"$299,264","$318,086","$274,301",-,-,-,-,-,-,-,
Guide License (NR),"$29,233","$31,222","$21,947",-,-,-,-,-,-,-,
Lands Pass - 1-Day,"$45,734","$96,827","$34,524",-,-,-,-,-,-,-,
Lands Pass – Annual,"$20,727","$34,946","$21,216",-,-,-,-,-,-,-,
Licensed Guide Employee Registration,"$1,393",$923,$686,-,-,-,-,-,-,-,
Licensed Game Bird Club Zone A - over 500 acres,"$7,529","$6,651",$0,-,-,-,-,-,-,-
Licensed Game Bird Club Zone B - 500 acres or less,"$5,642","$5,398",$0,-,-,-,-,-,-,-
Licensed Game Bird Club Zone B - over 500 acres,"$9,142","$9,977",$0,-,-,-,-,-,-,-
Licensed Domesticated Migratory Game Bird Shooting Area,$441,$455,$0,-,-,-,-,-,-,-
Native Reptile Captive Propagation Permit,"$2,451","$2,926","$2,457",-,-,-,-,-,-,-
Native Reptile & Amphibian Permit (Take by Biol. Supply House),$214,$220,$226,-,-,-,-,-,-,-
Restricted Species Permit Animal Care Detrimental,$0,$0,$0,-,-,-,-,-,-,-
Restricted Species Permit Animal Care Welfare,$245,$189,$65,-,-,-,-,-,-,-
Restricted Species Permit Application Fee (Amended or Renewal),"$16,734","$15,938","$7,729",-,-,-,-,-,-,-
Restricted Species Permit Application Fee (New),$239,$247,$633,-,-,-,-,-,-,-
Restricted Species Permit Aquaculture,$0,$0,$0,-,-,-,-,-,-,-
"Restricted Species Permit AZA, Detrimental","$8,160","$10,510","$3,239",-,-,-,-,-,-,-
Restricted Species Permit Breeding,"$6,120","$4,730","$1,619",-,-,-,-,-,-,-
Restricted Species Permit Broker/Dealer (R),"$2,550","$1,577","$1,619",-,-,-,-,-,-,-
Restricted Species Permit Broker/Dealer (NR),"$1,020","$1,051","$1,080",-,-,-,-,-,-,-
Restricted Species Permit ELE & MOU Fee,$968,$997,"$6,656",-,-,-,-,-,-,-
Restricted Species Permit ELE & MOU Renewal,"$1,450","$1,554",$185,,,,,,,
