Licenses,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
Aquaculture Registration (Renewal),N/A,N/A,N/A,$          50.00,$         50.00,$         50.00,$         50.00,$        100.00,$        100.00,$       100.00
Commercial Hunting Club License,$          100.00,$          100.00,$          100.00,$          100.00,$          100.00,$          100.00,$         165.00,$         165.00,$         183.00,$         185.75
Dog Training Permit,$              1.00,$              1.00,$              1.00,$             1.00,$             1.00,$              1.00,$              2.00,$              2.00,$              2.25,$              2.25
Falconry License,$            25.00,$            25.00,$            25.00,$           25.00,$            25.00,$            25.00,$            30.00,$            30.00,$           35.25,$            35.75
Fur Agent License,$            25.00,$            25.00,$            25.00,$            25.00,$            25.00,$           25.00,$            35.00,$            35.00,$            38.75,$            39.50
Fur Buyer,$            50.00,$            50.00,$            50.00,$            50.00,$            50.00,$            50.00,$            70.00,N/A,N/A,N/A
Fur Dealer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$            70.00,$            77.50,$           78.75
Domesticated Game Breeder License Class 1,$              5.00,$              5.00,$              5.00,$              5.00,$              5.00,$             5.00,$              8.00,$              8.00,$              8.75,$              9.00
Domesticated Game Breeder License Class 2,$            25.00,$            25.00,$            25.00,$            25.00,$            25.00,$            25.00,$            40.00,$           40.00,$           44.25,$            45.00
Domesticated Game Breeder License Class 3,$            12.50,$            12.50,$            12.50,$            12.50,$            12.50,$           12.50,$            12.50,$           12.50,$           12.50,$           12.50
Guide License (R),$            25.00,$            25.00,$            25.00,$            25.00,$            25.00,$            25.00,$            45.00,$           45.00,$           50.00,$            50.75
Guide License (NR),$          100.00,$          100.00,$          100.00,$          100.00,$         100.00,$         100.00,$          125.00,$          125.00,$         138.50,$         140.75
Licensed Guide Employee Registration,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$           10.00,$            10.00,$            10.00
Licensed Game Bird Club A <500,$            75.00,$           75.00,$            75.00,$            75.00,$           75.00,$            75.00,$          150.00,$          150.00,$          166.25,$          169.00
Licensed Game Bird Club A >500,$          100.00,$          100.00,$         100.00,$         100.00,$         100.00,$         100.00,$          200.00,$          200.00,$          221.75,$          225.25
Licensed Domesticated Migratory Game Bird Shooting Area,$           50.00,$           50.00,$            50.00,$            50.00,$           50.00,$            50.00,$            80.00,$            80.00,$            88.75,$            90.00
Organizational Field Trial Permit (R),$              5.00,$              5.75,$              6.25,$              7.00,$              7.00,$             7.00,$            10.00,$            10.00,$            11.00,$           11.25
Scientific Collecting Permit (R),$           10.00,$            10.00,$           10.00,$            10.00,$            10.00,$            10.00,$           15.00,$           15.00,$            16.75,$            30.00
Scientific Collecting Permit (NR),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$          100.00
Scientific Collecting Permit (Student),$              5.00,$              5.00,$              5.00,$              5.00,$              5.00,$              5.00,$              8.00,$             8.00,$              8.75,$             9.00
Suction Dredge Permit - Standard (R),$              5.00,$              5.00,$             5.00,$              5.00,$              5.00,$              5.00,$            10.00,$            10.00,$           11.00,$            25.00
Suction Dredge Permit - Standard (NR),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$         100.00
Suction Dredge Permit - Special,$            75.00,$            75.00,$            75.00,$            75.00,$           75.00,$            75.00,$         130.00,$          130.00,$         144.00,$         146.50
Trapping License (Junior),$             5.00,$              5.00,$              5.00,$            15.00,$           15.00,$            15.00,$            15.00,$            15.00,$            16.75,$            17.00
Trapping License (R),$            10.00,$            10.00,$           10.00,$            30.00,$           35.00,$            40.00,$            45.00,$           45.00,$            50.00,$            50.75
Trapping License (NR),$           25.00,$            25.00,$            25.00,$          200.00,$         200.00,$          200.00,$         225.00,$          225.00,$          249.50,$          253.50
