Licenses,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
COMM FISHING LICENSE (R),"14,430",N/A,"12,180",N/A,N/A,N/A,N/A,N/A,N/A,N/A
COMM FISHING LICENSE (NR),N/A,N/A,N/A,751,835,945,"1,190","1,158","1,221","1,270"
COMM FISHING - CREWMEMBER (R),N/A,"7,758",N/A,"5,618","5,501","5,318","4,848","4,335","4,128","3,986"
COMM FISHING - OPERATOR (R),25,"6,590",N/A,"4,963","4,911","4,874","4,683","4,289","4,077","3,805"
COMM FISHING - CREWMEMBER UPGRADE (R),N/A,N/A,N/A,N/A,N/A,N/A,N/A,150,136,88
COMM BOAT REGISTRATION (R),"6,621","6,744","6,221","5,136","5,166","4,995","4,856","4,531","4,341","4,344"
COMM BOAT REGISTRATION (NR),N/A,N/A,N/A,397,411,444,502,487,460,522
COMM PASSENGER FISHING VESSEL,728,564,515,375,391,363,354,343,361,384
COMM PASSENGER FISHING VESSEL W/SALMON,N/A,N/A,N/A,N/A,N/A,42,44,45,35,35
COMM AIRCRAFT REGISTRATION,N/A,N/A,9,22,19,23,21,17,15,13
COMM SALMON STAMP,"4,705","4,155","3,444","3,455","3,056","3,224","2,435","2,273","1,986","1,957"
JOHN DOE SALMON STAMP,N/A,N/A,N/A,N/A,N/A,N/A,378,335,244,296
JUNIOR COMM FISH LICENSE,110,100,69,61,62,67,75,69,54,48
JUNIOR COMM SALMON STAMP,22,11,8,14,8,14,13,9,2,4
COMM OCEAN ENHANCEMENT STAMP,"1,217",984,898,237,224,433,396,390,511,653
Limited Entry & Restricted Access,,,,,,,,,,
ABALONE DIVING PERMIT,124,120,117,115,112,110,103,97,N/A,N/A
DRIFT GILL NET SHARK/SWORDFISH PERMIT,183,165,149,117,162,185,167,120,148,136
DRIFT GILL NET (VESSEL),Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.
DUNGENESS CRAB PERMIT,N/A,N/A,805,713,705,N/A,N/A,N/A,N/A,N/A
DUNGENESS CRAB VESSEL PERMIT (R),N/A,N/A,N/A,N/A,N/A,614,624,614,609,604
DUNGENESS CRAB VESSEL PERMIT (NR),N/A,N/A,N/A,N/A,N/A,67,74,76,72,70
EXPERIMENTAL DRIFT GILL NET - SWORDFISH,22,20,18,15,19,N/A,N/A,N/A,N/A,N/A
FINFISH TRAP PERMIT,N/A,N/A,N/A,N/A,N/A,,316,198,196,158
GENERAL GILL/TRAMMEL NET PERMIT,593,438,376,290,308,300,273,219,255,245
HERRING GILL NET PERMIT(R),331,329,323,314,323,327,320,320,338,338
HERRING GILL NET PERMIT(NR),89,91,97,85,97,99,106,108,120,122
HERRING STAMP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,415,415,415
HERRING ROUND HAUL PERMIT (R),25,26,25,26,25,22,21,19,N/A,N/A
HERRING ROUND HAUL PERMIT (NR),17,16,16,15,14,13,14,14,N/A,N/A
LOBSTER PERMIT,11,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LOBSTER OPERATOR PERMIT,407,350,351,271,463,425,298,243,274,266
NEARSHORE FISHERY PERMIT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"1,184"
PINK SHRIMP TRAWL PERMIT,132,176,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PINK SHRIMP (INDIVIDUAL),N/A,N/A,N/A,N/A,307,175,167,128,118,106
PINK SHRIMP (VESSEL),N/A,N/A,N/A,N/A,8,132,129,122,113,107
SALMON VESSEL PERMIT,"3,373","3,248","2,974","2,741","2,470","2,344","2,221","2,076","1,899","1,800"
SEA CUCUMBER,N/A,N/A,134,106,129,129,134,N/A,N/A,N/A
SEA CUCUMBER DIVING PERMIT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,111,114,103
SEA CUCUMBER TRAWL PERMIT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,36,36,36
SEA URCHIN DIVING PERMIT,606,568,537,503,566,552,521,474,465,433
Late Fees,,,,,,,,,,
LIMITED ENTRY LATE FEE,N/A,N/A,N/A,18,35,55,54,111,86,99
MARKET SQUID/LIGHT VESSEL LATE FEE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,70,28
SALMON VESSEL LATE FEE,270,299,N/A,335,208,179,132,132,144,129
Nonrestrictive Permits,,,,,,,,,,
ABALONE CREW MEMBER PERMIT,N/A,N/A,N/A,182,194,198,141,75,N/A,N/A
ANCHOVY TAKE PERMIT,N/A,N/A,84,64,77,116,127,122,152,154
BAY SHRIMP PERMIT,N/A,N/A,44,29,34,37,29,32,33,34
CRAYFISH PERMIT,N/A,N/A,52,51,43,43,48,40,50,52
FISH LANDED OUTSIDE CALIFORNIA PERMIT,N/A,N/A,N/A,N/A,46,35,50,24,26,20
GENERAL GILLNET CREWMEMBER,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.
GHOST SHRIMP PERMIT,N/A,N/A,N/A,N/A,N/A,N/A,24,28,25,22
HAGFISH PERMIT,N/A,N/A,7,2,1,N/A,N/A,N/A,N/A,N/A
MRP GILL/TRAMMEL PERMIT,N/A,N/A,119,110,N/A,N/A,N/A,N/A,N/A,N/A
MRP STAMP,N/A,N/A,274,221,N/A,N/A,N/A,N/A,N/A,N/A
INLAND/FRESHWATER FISH PERMIT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,23,20
KELP HARVESTER LICENSE,8,32,30,74,1,36,45,51,54,43
LOBSTER CREWMEMBER PERMIT,N/A,N/A,N/A,N/A,N/A,N/A,59,126,188,163
MARINE AQUARIA COLLECTOR PERMIT,N/A,N/A,N/A,23,15,10,6,7,7,8
PACIFIC MACKEREL,N/A,N/A,119,89,90,148,153,163,173,173
SARDINE,N/A,N/A,98,76,83,149,158,157,179,204
SARDINE LIVE BAIT,N/A,N/A,36,30,38,60,0,N/A,N/A,N/A
SEA URCHIN APPRENTICE PERMIT,64,73,78,80,37,N/A,N/A,N/A,N/A,N/A
SEA URCHIN CREWMEMBER PERMIT,N/A,N/A,N/A,N/A,339,479,360,293,241,246
SHRIMP/PRAWN TRAWL PERMIT,N/A,N/A,174,303,104,146,140,140,113,119
SPOT & RIDGEBACK PRAWN PERMIT,66,86,73,85,174,211,225,234,221,205
SWORDFISH PERMIT,64,53,54,43,48,52,45,36,29,40
TIDAL INVERTEBRATE PERMIT,N/A,N/A,410,300,293,447,480,493,430,382
TRAP PERMIT,964,744,723,643,745,"1,096",949,918,947,827
Permit Transfers,,,,,,,,,,
ABALONE DIVING PERMIT,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.
DUNGENESS CRAB PERMIT,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.
DRIFT GILL NET SHARK/SWORDFISH PERMIT,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.
DRIFT GILL NET (VESSEL),Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.
GENERAL GILL/TRAMMEL NET PERMIT,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.
HERRING,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.
MARKET SQUID LIGHT BOAT OWNER'S PERMIT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,53,51
MARKET SQUID VESSEL PERMIT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,243,222
SALMON VESSEL PERMIT,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.
SEA CUCUMBER,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.
TOTAL COMMERCIAL FISHING,"$             35,207","$             33,745","$             31,641","$             29,098","$             28,897","$             29,733","$             28,508","$             27,014","$             26,230","$             26,769"
