Licenses,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Aquaculture Registration (New),N/A,$        400.00,$        100.00,$        400.00,$        400.00,$        400.00,$        400.00,$        400.00,$        400.00,$        400.00
Aquaculture Registration (Renewal),$        100.00,$        200.00,$        100.00,$        200.00,$        200.00,$        200.00,$        200.00,$        200.00,$        200.00,$        200.00
Aquaculture Registration - Surcharge,N/A,N/A,N/A,N/A,$        300.00,$        300.00,$        300.00,$        300.00,$        300.00,$        300.00
Aquaculture Registration - Interest (per month ),N/A,N/A,N/A,N/A,$           2.00,$            2.00,$            2.00,$            2.00,$            2.00,$           2.00
Aquaculture Registration - Penalty,N/A,N/A,N/A,N/A,$          25.00,$          25.00,$          25.00,$          25.00,$          25.00,$          25.00
Commercial Hunting Club License,$        203.00,$        212.50,$        222.75,$        225.75,$        231.50,$        236.50,$        244.00,$        252.25,$        257.75,$        262.25
Dog Training Permit,$            2.50,$            2.50,$            2.75,$            2.75,$            2.75,$            2.75,$            2.75,$            2.75,$            2.75,$            2.75
Domesticated Game Bird Seals,$            0.03,$            0.03,$            0.03,$            0.03,$            0.03,$            0.03,$            0.03,$            0.03,$            0.03,$            0.03
Domesticated Game Breeder's License Class 1,$            9.75,$          10.25,$          10.75,$          11.00,$          11.25,$          11.50,$          11.75,$          12.25,$          12.50,$          12.75
Domesticated Game Breeder's License Class 2,$          49.25,$          51.25,$          54.00,$          54.75,$          56.25,$          57.50,$          59.25,$          61.25,$          62.50,$          63.50
Falconer Raptor Capture Permit (NR),N/A,N/A,N/A,N/A,N/A,N/A,$        191.75,$        198.25,$        202.50,$        206.00
Falconry License - Application Fee,N/A,N/A,N/A,$            7.50,$            7.75,$            8.00,$            8.25,$            8.50,$            8.75,$            9.00
Falconry License,$          37.00,$          40.50,$          42.50,$          43.00,$          44.00,$          45.00,$          46.50,$          48.00,$          49.00,$          49.75
Fallow Deer Farming Permit,N/A,N/A,N/A,N/A,N/A,$        260.00,$        268.00,277.25\200.0,$        204.50,$        208.00
Fallow Deer Farming Permit - Application Fee,N/A,N/A,N/A,N/A,N/A,30.00\33.50,$          34.50,$          35.75,$          30.75,$          31.25
Fallow Deer Farming Permit - Inspection Fee,N/A,N/A,N/A,N/A,N/A,$          50.00,$          50.00,$          50.00,$          84.50,$          84.50
Fur Agent License,$          43.00,$          45.00,$          47.25,$          48.00,$          49.25,$          50.25,$          51.75,$          53.50,$          54.75,$          55.75
Fur Dealer License,$          86.00,$          90.00,$          94.25,$          95.50,$          98.00,$        100.25,$        103.50,$        107.00,$        109.25,$        111.25
Game Bird Club Seals,$            0.05,$            0.05,$            0.05,$            0.05,$            0.05,$            0.05,$            0.05,$            0.05,$            0.05,$            0.05
Guide License (R),$          55.25,$          57.75,$          60.50,$          61.25,$          62.75,$          64.25,$          66.25,$          68.50,$          70.00,$          71.25
Guide License (NR),$        153.75,$        161.00,$        168.75,$        171.00,$        175.50,$        179.50,$        185.00,$        191.25,$        195.50,$        199.00
Licensed Guide Employee Registration,$          10.00,$          10.00,$          10.00,$          10.00,$          10.00,$          10.00,$          10.00,$          10.00,$          10.00,$          10.00
"Licensed Game Bird Club, Zone A - 500 acres or less",$        184.50,$        193.00,$        202.25,$        205.00,$        210.25,$        210.00,$        221.75,$        224.00,$        229.00,$        233.00
"Licensed Game Bird Club, Zone A - over 500 acres",$        246.00,$        257.25,$        269.50,$        273.25,$        280.25,$        280.00,$        295.50,$        298.50,$        305.00,$        310.25
"Licensed Game Bird Club, Zone B - 500 acres or less",N/A,N/A,$        202.25,$        205.00,$        210.25,$        210.00,$        221.75,$        224.00,$        229.00,$        233.00
"Licensed Game Bird Club, Zone B - over 500 acres",N/A,N/A,$        269.50,$        273.25,$        280.25,$        280.00,$        295.50,$        298.50,$        305.00,$        310.25
Lic. Domesticated Migratory Game Bird Shooting Area,$          98.50,$        102.75,$        107.75,$        109.25,$        112.00,$        114.50,$        118.00,$        122.00,$        124.75,$        127.00
Native Reptile Captive Propagation Permit,N/A,N/A,N/A,N/A,N/A,N/A,$          34.50,$          35.75,$          36.50,$          37.25
