Licenses,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979
COMM FISHING LICENSE,"$           224,175","$           254,025","$           263,400","$           303,900","$           364,125","$           488,880","$           523,530","$           609,245","$           710,430","$           799,880"
COMM BOAT REGISTRATION,"$           217,050","$           249,300","$           263,150","$           297,300","$           347,600","$           682,700","$           726,800","$           842,100","$           965,400","$        1,204,375"
COMM PASSENGER FISHING VESSEL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"$             17,520"
COMM SALMON STAMP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"$           153,330"
Limited Entry & Restricted Access,,,,,,,,,,
LOBSTER PERMIT,"$             18,500","$            20,900","$             26,600","$             26,800","$            19,900","$             21,400","$            18,200","$            21,400","$            29,400","$             34,625"
Nonrestrictive Permits,,,,,,,,,,
ABALONE PERMIT,"$            53,000","$            48,600","$             44,700","$             48,700","$             55,700","$             51,700","$            48,600",N/A,N/A,N/A
ABALONE CREW MEMBER PERMIT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"$            59,300","$            39,300","$               9,300"
ABALONE DIVING PERMIT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"$               4,800","$            21,400","$            31,000"
KELP LICENSE,$                   80,$                    90,$                 430,$                  580,"$              1,860","$               1,050",$                 390,$                 780,$                  370,$                 810
OYSTER PERMIT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$                  425
TOTAL COMMERCIAL,"$           512,805","$           572,915","$          598,280","$           677,280","$           789,185","$        1,245,730","$        1,317,520","$        1,537,625","$        1,766,300","$       2,251,265"
