Licenses,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Resident Hunting     (Annual),$             21.00,$             22.00,$            23.00,$            23.25,$            23.75,$          24.25,$          25.00,$          25.75,$          26.25,$          26.75
Lifetime Hunting,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$          25.75,$          26.25,$          26.75
Junior Hunting     (Annual),$            5 .00,$            5 .25,$            5 .50,$            5 .50,$            5 .75,$            6 .00,$            6 .25,$            6 .50,$            6 .75,$            6 .75
Disabled Veteran Hunting,$             2.00,$             2.00,$            2.00,$             2.00,$            2.00,$            4.00,$            4.00,$            4.25,$             4.25,$            4.25
Non-Resident Hunting     (Annual),$          72.50,$          76.00,$          79.75,$          80.75,$          82.75,$          84.50,$          87.25,$          90.25,$          92.25,$          94.00
Non-Resident 1-Day Hunting,$            9 .75,$          10.25,$          10.75,$          11.00,$          11.25,$          11.50,$          11.75,$          12.25,$          12.50,$          12.75
Non-Resident 2-Day Hunting,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$          25.00,$          25.50,$          26.00
"",,,,,,,,,,
"",,,,,,,,,,
Resident First Deer Tag,$          12.25,$          12.75,$          13.25,$          13.50,$          13.75,$          14.00,$          14.50,$          15.00,$          15.25,$          15.50
Non-Resident First Deer Tag,$        123.00,$        128.75,$        135.00,$        136.75,$        140.25,$        143.25,$        147.75,$        152.75,$        156.00,$        158.75
Resident Second Deer Tag,$          15.50,$          16.25,$          17.00,$          17.25,$          17.75,$          18.25,$          18.75,$          19.50,$          20.00,$          20.25
Non-Resident SecondDeer Tag,$        123.00,$        128.75,$        135.00,$        136.75,$        140.25,$        143.25,$        147.75,$        152.75,$        156.00,$        158.75
Duplicate/Exchange Deer Tag,N/A,N/A,N/A,$            5.00,$            5.25,$             5.25,$             5.50,$            5 .75,$            5 .75,$            5 .75
"",,,,,,,,,,
"",,,,,,,,,,
Resident Pronghorn Antelope Tag,$         67.75,$          71.00,$          74.50,$          75.50,$         77.50,$          79.25,$          81.75,$          84.50,$          86.25,$         87.75
Resident Bighorn Sheep Tag,$       200.00,$        200.00,$        209.50,$        212.50,$        218.00,$        222.75,$        229.75,$        237.50,$        242.75,$        247.00
Non-Resident Bighorn Sheep Tag,$        495.00,$        495.00,$        500.00,$        500.00,$        500.00,$        500.00,$        500.00,$        500.00,$        500.00,$        500.00
Resident Elk Tag,$        198.00,$       212.50,$       222.75,$       108.00,$       231.50,$        236.50,$        244.00,$       252.25,$       257.75,$        262.25
"",,,,,,,,,,
"",,,,,,,,,,
EAS Drawing Application,$             5.00,$             5.00,$             5.00,$            5.25,$            5.50,$            5.50,$             5.75,$            6.00,$             6.25,$            6.25,
"",,,,,,,,,,
"",,,,,,,,,,
Resident Bear Tags,$          18.50,$          19.25,$          20.25,$          20.50,$          21.00,$          21.50,$          22.25,$          23.00,$          23.50,$          24.00
Non-Resident Bear Tags,$        129.25,$        135.25,$        141.75,$        143.75,$        147.50,$        150.75,$        155.50,$        160.75,$        164.25,$        167.25
"",,,,,,,,,,
"",,,,,,,,,,
Resident Wild Pig Tag,N/A,N/A,$            7 .50,$            7 .50,$            7 .50,$            7 .50,$            7 .50,$            7 .50,$            7 .50,$            7 .50
Non-Resident Wild Pig Tag,N/A,N/A,$          10.00,$          10.50,$          10.50,$          10.75,$          11.00,$          11.50,$          11.75,$          12.00
"",,,,,,,,,,
"",,,,,,,,,,
Bobcat Hunting Tags (Book of 5),$            8.00,$             8.00,$            8 .50,$            8 .50,$            8 .75,$            9 .00,$            9 .25,$            9 .50,$            9 .75,$          10.00
Bobcat Shipping Tags,$            3 .00,$            3 .00,$            3 .00,$            3 .00,$            3 .00,$            3 .25,$            3 .25,$            3 .25,$            3 .25,$            3 .25
"",,,,,,,,,,
"",,,,,,,,,,
Duck Stamp,$            7 .50,$            7 .50,$            7 .50,$          10.00,$          10.00,$          10.00,$          10.00,$          10.00,$          10.00,$          10.00
Waterfowl Reservation Application,$            1 .00,$            1 .00,$            1 .00,$            1 .00,$            1 .00,$            1 .00,$            1 .00,$            1 .00,$            1 .00,$            1 .00
1-Day Type A Wildlife Area Permit,$          10.00,$          10.00,$          10.50,$          11.00,$          11.00,$          12.00,$          12.00,$          12.00,$          12.00,$          12.00
2-Day Type A Wildlife Area Pass,$          15.00,$          15.00,$          15.75,$          16.00,$          16.50,$          16.75,$          17.25,$          17.75,$          18.25,$          18.50
Type A Wildlife Area Season Pass,$          75.00,$          75.00,$          78.50,$          79.50,$          81.50,$          83.25,$          85.75,$          88.75,$          90.75,$          92.25
Type B Wildlife Area Season Pass,$          25.00,$          25.00,$          26.25,$          26.50,$          27.25,$          27.75,$          28.50,$          29.50,$          30.25,$          30.75
Upland Game Bird Stamp,N/A,N/A,N/A,$            5 .00,$            5 .25,$            5 .25,$            5 .50,$            5 .75,$            5 .75,$            5 .75
