Licenses,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979
COMM FISHING LICENSE,$               25.00,$               25.00,$              25.00,$               25.00,$              25.00,$               35.00,$               35.00,$               35.00,$               35.00,$               40.00
COMM BOAT REGISTRATION,$               50.00,$               50.00,$               50.00,$               50.00,$               50.00,$            100.00,$            100.00,$            100.00,$             100.00,$             125.00
COMM PASSENGER FISHING VESSEL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$               40.00
COMM SALMON STAMP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$               15.00
Limited Entry & Restricted Access,,,,,,,,,,
LOBSTER PERMIT,$            100.00,$             100.00,$            100.00,$             100.00,$            100.00,$            100.00,$            100.00,$             100.00,$             100.00,$             125.00
Nonrestrictive Permits,,,,,,,,,,
ABALONE PERMIT,$             100.00,$             100.00,$             100.00,$             100.00,$             100.00,$             100.00,$             100.00,N/A,N/A,N/A
ABALONE CREW MEMBER PERMIT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$             100.00,$             100.00,$             100.00
ABALONE DIVING PERMIT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$             200.00,$             200.00,$             200.00
KELP LICENSE,$               10.00,$              10.00,$               10.00,$              10.00,$               10.00,$              10.00,$               10.00,$               10.00,$              10.00,$               15.00
OYSTER PERMIT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$               25.00
