Licenses,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aquaculture Registration (New),"$8,361","$4,251","$7,285","$8,800","$6,474","$4,100","$5,740","$5,756","$21,156","$2,621"
Aquaculture Registration (Renewal),"$61,075","$54,277","$53,983","$73,000","$72,322","$69,700","$67,138","$67,848","$70,357","$56,810"
Aquaculture Registration - Late Fee,$690,$765,$852,"$3,000","$1,214","$1,691","$1,384","$5,090","$2,540","$2,624"
Aquaculture Registration - Surcharge,"$38,702","$35,096","$36,086","$39,600","$41,276","$38,745","$36,900","$39,472","$30,468","$34,073"
Commercial Hunting Club License (1 Property),"$12,400","$12,602","$12,749","$10,940","$10,199","$10,109","$10,109","$9,911","$9,977","$10,062"
Commercial Hunting Club License (2-5 Properties),"$5,000","$5,085","$6,273","$6,438","$5,428","$6,050","$6,050","$7,170","$8,513","$8,204"
Commercial Hunting Club License (6-10 Properties),"$1,000",$0,"$1,046","$2,146","$1,085","$1,100","$1,100","$1,103","$2,269","$2,343"
Commercial Hunting Club License (11 or More Properties),"$2,000","$4,067","$2,091","$2,146","$2,170","$2,199","$4,399","$4,411","$4,539","$2,343"
Commercial Native Rattlesnake (New),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$209
Commercial Native Rattlesnake (Renewal),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$0
Commercial Native Rattlesnake Inspection Fee,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$607
Domesticated Game Bird Seals,"$1,051",$779,$794,$645,$465,$558,$638,$458,$576,$438
Domesticated Game Breeder's License Class 1,"$3,460","$3,075","$3,022","$3,121","$2,980","$2,450","$2,248","$2,126","$2,117","$2,258"
Domesticated Game Breeder's License Class 2,"$3,843","$3,441","$3,160","$2,948","$2,687","$2,519","$2,217","$2,525","$2,912","$2,580"
Domesticated Game Mammal Tags,$48,$32,$0,$0,$0,$0,$0,$0,$0,$0
