Licenses,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
COMM FISHING LICENSE (R),50.00,N/A,50.00,N/A,N/A,N/A,0.00,N/A,N/A,N/A
COMM FISHING LICENSE (NR),N/A,N/A,N/A,150.00,150.00,150.00,150.00,150.00,150.00,150.00
COMM FISHING - CREWMEMBER (R),N/A,50.00,N/A,50.00,50.00,50.00,50.00,50.00,50.00,50.00
COMM FISHING - OPERATOR (R),90.00,90.00,N/A,90.00,90.00,90.00,90.00,90.00,90.00,90.00
COMM FISHING - CREWMEMBER UPGRADE (R),N/A,N/A,N/A,N/A,N/A,N/A,N/A,40.00,40.00,40.00
COMM BOAT REGISTRATION (R),$165.00&$200.00,165.00 & 200.00,165.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00
COMM BOAT REGISTRATION (NR),N/A,N/A,N/A,400.00,400.00,400.00,400.00,400.00,400.00,400.00
COMM PASSENGER FISHING VESSEL,$50.00&$65.00,50.00 & 65.00,50.00,Varies,Varies,100.00\200.00,200.00,200.00,200.00,200.00
COMM PASSENGER FISHING VESSEL W/SALMON,N/A,N/A,N/A,N/A,N/A,150.00,150.00,150.00,150.00,150.00
COMM AIRCRAFT REGISTRATION,N/A,N/A,165.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00
COMM SALMON STAMP,210.00,160.00,110.00,85.00,85.00,85.00,235.00,122.50,260.00,85.00
JOHN DOE SALMON STAMP,N/A,N/A,N/A,N/A,N/A,N/A,235.00,122.50,260.00,85.00
JUNIOR COMM FISH LICENSE,$25.00&$35.00,25.00 & 35.00,25.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00
JUNIOR COMM SALMON STAMP,105.00,80.00,55.00,42.50,42.50,42.50,117.50,61.25,130.00,42.50
COMM OCEAN ENHANCEMENT STAMP,$10.00&$15.00,$10.00 & $15.00,10.00,10.00,10.00,25.00,25.00,25.00,25.00,25.00
Limited Entry & Restricted Access,,,,,,,,,,
ABALONE DIVING PERMIT,200.00,200.00,250.00,330.00,330.00,330.00,330.00,330.00,N/A,N/A
DRIFT GILL NET SHARK/SWORDFISH PERMIT,$250.00&$330.00,330.00,250.00,330.00,330.00,330.00,330.00,330.00,330.00,330.00
