Licenses,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Resident Fishing (Annual),$          39.50,$          40.25,$          41.50,$         42.50,$          43.00,$         43.50,$          43.50,$          43.50,$          44.75,$          46.25
Resident Fishing Voucher (Annual),N/A,$         40.25,$          41.50,$         42.50,$          43.00,$         43.50,$          43.50,$          43.50,$          44.75,$         46.25
Lifetime Fishing*,$              -,$              -,$              -,$              -,$             -,$              -,$             -,$              -,$              -,$              -
Non-Resident Fishing (Annual),$        106.50,$         108.25,$         111.25,$        114.25,$         115.50,$         117.00,$        117.00,$        117.25,$         120.75,$        124.75
Non-Resident Fishing (l0 Day),$         39.50,$          40.25,$          41.50,$          42.50,$         43.00,$         43.50,$         43.50,$          43.50,$          44.75,$         46.25
1-Day Sportfishing (Res/Nonres),$          12.75,$          13.00,$          13.25,$          13.50,$          13.75,$         14.00,$          14.00,$          14.00,$          14.50,$          15.00
2-Day Sportfishing (Res/Nonres),$          19.75,$          20.25,$          20.75,$          21.25,$         21.50,$         21.75,$          21.75,$         21.75,$          22.50,$          23.25
Disabled Veteran Fishing,$            6.25,$            6.25,$            6.50,$            6.75,$            6.75,$           6.75,$            6.75,$           6.75,$           7.00,$            7.25
Recovering Service Member,N/A,N/A,N/A,$           6.75,$           6.75,$            6.75,$            6.75,$           6.75,$            7.00,$           7.25
Reduced Fee Low Income Senior,$            6.25,$            6.25,$            6.50,$            6.75,$            6.75,$           6.75,$            6.75,$           6.75,$            7.00,$            7.25
Reduced Fee Disabled Veteran/Low Income,$            6.25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Free Sport Fishing,$              -,$              -,$              -,$             -,$              -,$              -,$              -,$              -,$              -,$              -
"",,,,,,,,,,
"",,,,,,,,,,
Second Rod Sport Fish Validation,$         12.25,$          12.50,$         12.75,$         13.00,$          13.25,$         13.50,$          13.50,$          13.50,$          14.00,$          14.50
Lifetime Second Rod Sport Fish Validation*,$             -,$              -,$              -,$              -,$              -,$              -,$              -,$              -,$             -,$             -
Spiny Lobster Report Card,$            8.00,$            8.25,$           8.50,$            8.75,N/A,N/A,N/A,N/A,N/A,N/A
Spiny Lobster report Card (Full Season),N/A,N/A,N/A,$           8.75,$            8.75,$           8.75,$            8.75,$           8.75,$            9.00,$            9.25
Abalone Report Card,$         19.00,$          19.25,$         19.75,$          20.25,$         20.50,$         20.75,$          20.75,$         20.75,$          21.25,$          22.00
North Coast Salmon Report Card,$           5.25,$           5.25,$           5.50,$            5.75,$            5.75,$            5.75,$           5.75,$            5.75,$           6.00,$           6.25
Lifetime North Coast Salmon Report Card*,$              -,$              -,$              -,$              -,$              -,$              -,$             -,$             -,$              -,$              -
Steelhead Report Card,$            6.00,$            6.00,$           6.25,$            6.50,$            6.50,$           6.50,$           6.50,$           6.50,$            6.50,$            7.00
Lifetime Steelhead Report Card*,$              -,$              -,$              -,$              -,$              -,$              -,$              -,$             -,$              -,$              -
Sturgeon Fishing Report Card,$              -,$              -,$             -,$           7.50,$            7.50,$            7.50,$           7.50,$           7.50,$           7.75,$            8.00
Ocean Enhancement Validation,$           4.50,$            4.50,$            4.75,$           4.75,$           4.75,$           4.75,$           4.75,$            4.75,$            5.00,$            5.25
Lifetime Ocean Enhancement Validation*,$             -,$              -,$              -,$             -,$              -,$              -,$              -,$              -,$              -,$             -
"",,,,,,,,,,
Lifetime Fishing Package - Age 0 to 9,$         463.25,$         471.00,$         484.25,$         497.00,$         502.75,$        509.50,$         509.50,$        510.75,$        525.75,$         542.75
Lifetime Fishing Package - Age 10 to 39,$        761.25,$         774.00,$         795.75,$         816.50,$        826.00,$         837.00,$         837.00,$         839.25,$        863.75,$         891.75
Lifetime Fishing Package - Age 40 to 61,$         685.25,$        696.75,$         716.50,$         735.25,$         743.75,$         753.50,$        753.50,$         755.50,$         777.50,$        802.75
Lifetime Fishing Package - Age 62 and Over,$         463.25,$         471.00,$         484.25,$         497.00,$        502.75,$        509.50,$         509.25,$         510.75,$        525.75,$         542.75
