Licenses,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
COMM FISHING LICENSE (R),"$860,828","$831,024","$516,759",-,-,-,-,-,-,-
COMM FISHING LICENSE (NR),"$285,615","$322,904","$130,143",-,-,-,-,-,-,-
COMM BOAT REGISTRATION (R),"$1,102,794","$1,106,455","$898,470",-,-,-,-,-,-,-
COMM BOAT REGISTRATION (NR),"$358,864","$347,504","$291,852",-,-,-,-,-,-,-
COMM PASSENGER FISHING VESSEL,"$209,622","$232,794","$188,940",-,-,-,-,-,-,-
COMM AIRCRAFT REGISTRATION,"$2,130",$941,$966,-,-,-,-,-,-,-
COMM SALMON STAMP,"$129,370","$124,695","$99,960",-,-,-,-,-,-,-
JOHN DOE SALMON STAMP,"$19,380","$18,615","$15,810",-,-,-,-,-,-,-
COMM OCEAN ENHANCEMENT STAMP,"$76,325","$69,098","$50,844",-,-,-,-,-,-,-
Limited Entry & Restricted Access,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
CALIFORNIA HALIBUT BOTTOM TRAWL VESSEL PERMIT,"$2,675","$2,680","$2,338",-,-,-,-,-,-,-
DEEPER NEARSHORE SPECIES FISHERY PERMIT,"$33,206","$34,408","$33,124",-,-,-,-,-,-,-
DRIFT GILL NET SHARK/SWORDFISH PERMIT,"$26,580","$20,153","$16,453",-,-,-,-,-,-,-
DUNGENESS CRAB VESSEL PERMIT NT (NR) TIER 1,$0,$0,$0,-,-,-,-,-,-,-
DUNGENESS CRAB VESSEL PERMIT NT (NR) TIER 2,$0,$0,$0,-,-,-,-,-,-,-
DUNGENESS CRAB VESSEL PERMIT NT (NR) TIER 3,$608,$0,$0,-,-,-,-,-,-,-
DUNGENESS CRAB VESSEL PERMIT NT (NR) TIER 4,"$1,215","$1,252","$1,286",-,-,-,-,-,-,-
DUNGENESS CRAB VESSEL PERMIT NT (NR) TIER 5,$0,$0,$0,-,-,-,-,-,-,-
DUNGENESS CRAB VESSEL PERMIT NT (NR) TIER 6,"$1,215","$1,252",$0,-,-,-,-,-,-,-
DUNGENESS CRAB VESSEL PERMIT NT (NR) TIER 7,$608,$0,$0,-,-,-,-,-,-,-
DUNGENESS CRAB VESSEL PERMIT NT (R) TIER 1,$609,$314,$322,-,-,-,-,-,-,-
DUNGENESS CRAB VESSEL PERMIT NT (R) TIER 2,$304,$314,$0,-,-,-,-,-,-,-
DUNGENESS CRAB VESSEL PERMIT NT (R) TIER 3,$304,$314,$0,-,-,-,-,-,-,-
DUNGENESS CRAB VESSEL PERMIT NT (R) TIER 4,$0,$0,$0,-,-,-,-,-,-,-
DUNGENESS CRAB VESSEL PERMIT NT (R) TIER 5,$304,$314,$322,-,-,-,-,-,-,-
DUNGENESS CRAB VESSEL PERMIT NT (R) TIER 6,$304,$314,$322,-,-,-,-,-,-,-
DUNGENESS CRAB VESSEL PERMIT NT (R) TIER 7,$304,$314,$322,-,-,-,-,-,-,-
DUNGENESS CRAB VESSEL PERMIT T (NR) TIER 1,"$7,898","$8,138","$7,073",-,-,-,-,-,-,-
DUNGENESS CRAB VESSEL PERMIT T (NR) TIER 2,"$5,468","$5,008","$2,572",-,-,-,-,-,-,-
DUNGENESS CRAB VESSEL PERMIT T (NR) TIER 3,"$4,860","$5,008","$4,501",-,-,-,-,-,-,-
DUNGENESS CRAB VESSEL PERMIT T (NR) TIER 4,"$4,253","$5,008","$3,858",-,-,-,-,-,-,-
DUNGENESS CRAB VESSEL PERMIT T (NR) TIER 5,"$3,645","$1,878","$1,286",-,-,-,-,-,-,-
DUNGENESS CRAB VESSEL PERMIT T (NR) TIER 6,"$16,403","$16,276","$11,574",-,-,-,-,-,-,-
DUNGENESS CRAB VESSEL PERMIT T (NR) TIER 7,"$8,505","$10,016","$6,430",-,-,-,-,-,-,-
DUNGENESS CRAB VESSEL PERMIT T (R) TIER 1,"$13,083","$13,481","$13,846",-,-,-,-,-,-,-
DUNGENESS CRAB VESSEL PERMIT T (R) TIER 2,"$13,083","$13,794","$13,202",-,-,-,-,-,-,-
DUNGENESS CRAB VESSEL PERMIT T (R) TIER 3,"$14,300","$14,421","$14,490",-,-,-,-,-,-,-
DUNGENESS CRAB VESSEL PERMIT T (R) TIER 4,"$13,996","$14,108","$13,846",-,-,-,-,-,-,-
DUNGENESS CRAB VESSEL PERMIT T (R) TIER 5,"$15,213","$15,362","$13,846",-,-,-,-,-,-,-
DUNGENESS CRAB VESSEL PERMIT T (R) TIER 6,"$40,770","$42,009","$36,386",-,-,-,-,-,-,-
DUNGENESS CRAB VESSEL PERMIT T (R) TIER 7,"$28,295","$27,588","$24,472",-,-,-,-,-,-,-
