Licenses,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Aquaculture Registration (New),$893.00,$920.25,$   945.50,-,-,-,-,-,-,-
Aquaculture Registration (Renewal),$558.25,$575.25,$   591.00,-,-,-,-,-,-,-
Aquaculture Registration Late Fee,$167.75,$172.75,$   177.50,-,-,-,-,-,-,-
Aquaculture Registration Surcharge,$669.75,$690.25,$   709.00,-,-,-,-,-,-,-
Commercial Hunting Club License (1 Property),$239.25,$246.50,$   253.25,-,-,-,-,-,-,-
Commercial Hunting Club License (2-5 Properties),$599.00,$617.50,$   634.00,-,-,-,-,-,-,-
Commercial Hunting Club License (6-10 Properties),"$ 1,197.25","$ 1,233.75","$1,267.50",-,-,-,-,-,-,-
Commercial Hunting Club License (11 or More Properties),"$ 2,395.00","$ 2,468.00","$2,535.50",-,-,-,-,-,-,-
Commercial Native Rattlesnake (New),$213.00,$219.50,$   225.50,-,-,-,-,-,-,-
Commercial Native Rattlesnake (Renewal),$115.50,$119.00,$   122.25,-,-,-,-,-,-,-
Commercial Native Rattlesnake Inspection Fee,$620.00,$639.00,$   656.50,-,-,-,-,-,-,-
Domesticated Game Bird Seals (50 Per Book),$1.50,$1.50,$       1.50,-,-,-,-,-,-,-
Domesticated Game Breeder's License Class 1,$22.00,$22.75,$     23.25,-,-,-,-,-,-,-
Domesticated Game Breeder's License Class 2,$110.00,$113.25,$   116.25,-,-,-,-,-,-,-
Domesticated Game Mammal Tags,$0.03,$0.03,$       0.03,-,-,-,-,-,-,-
Falconer Raptor Capture Permit (NR),$356.25,$367.00,$   377.00,-,-,-,-,-,-,-
Falconry License Application Fee,$15.50,$16.00,$     16.50,-,-,-,-,-,-,-
Falconry License,$86.25,$89.00,$     91.50,-,-,-,-,-,-,-
Falconry Inspection Fee (1-5 Enclosures),$289.25,$298.00,$   306.25,-,-,-,-,-,-,-
Falconry Additional Inspection Fee (Per Enclosures Over 5),$14.50,$15.00,$     15.50,-,-,-,-,-,-,-
Fallow Deer Farming Permit,$360.00,$371.00,$   381.25,-,-,-,-,-,-,-
