Licenses,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,
Resident Fishing     (Annual),$           20.50,$          21.50,$           22.50,$          22.75,$           23.25,$           23.75,$          24.50,$           25.25,$           25.75,$           26.25,
Lifetime Fishing,$           20.50,$          21.50,$           22.50,$          22.75,$           23.25,$           23.75,$           24.50,$          25.25,$          25.75,$           26.25,
Non-Resident Fishing     (Annual),$           55.25,$           57.75,$           60.50,$           61.25,$           62.75,$           64.25,$          66.25,$          68.50,$           70.00,$           71.25,
Non-Resident Fishing     (l0 Day),N/A,N/A,N/A,N/A,N/A,N/A,$          24.50,$          25.25,$           25.75,$           26.25
1-Day Sportfishing,$            6.25,$             7.75,$            8.00,$            8.00,$            8.25,$             8.50,$             8.75,$            9.00,$             9.25,N/A,
2-Day Sportfishing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$             9.50,
Reduced Fee Sportfishing,$             2.00,$            2.00,$             2.00,$             2.00,$             2.00,$            4.00,$            4.00,$             4.25,$             4.25,$             4.25,
Resident Pacific Ocean Only,$           12.25,$          12.75,$          13.25,$           13.50,$           13.75,$          14.00,$           14.50,$          15.00,$          15.25,$           15.50,
Pacific Ocean (1 Day),$             4.25,$            4.75,$            5.00,$             5.00,$             5.25,$             5.25,$             5.50,$            5.75,$             5.75,$            5.75,
"",,,,,,,,,,,
Abalone Report Card,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$           12.00,$          12.00,
Colorado River Stamp (CA),$            3.00,$             3.00,$            3.00,$            3.00,$             3.00,$            3.00,$            3.00,$             3.00,$             3.00,$            3.00,
Marine Resources Stamp,N/A,$            3.00,$             3.00,$            3.00,$             3.00,N/A,N/A,N/A,N/A,N/A,
Ocean Enhancement Stamp,$             1.00,$             1.00,$             1.00,$            1.00,$             1.00,$            2.50,$            2.50,$             2.50,$             2.50,$             2.50,
Pacific Ocean/Enhancement (1 Day),$             5.25,$            5.75,$             6.00,$            6.00,$             6.25,$             5.75,$             6.00,$            6.25,$            6.25,$             6.25,
Resident Upgrade Stamp,$             8.25,$             8.75,$             9.25,$            9.25,$             9.50,$             9.75,$           10.00,$          10.25,$           10.50,$           10.75,
Second Rod Sport Fish Stamp,N/A,N/A,N/A,N/A,N/A,$            7.50,$            7.75,$            8.00,$            8.25,$             8.50,
Salmon Punch Card,$             1.00,$            1.00,$             1.00,$            1.00,$             1.00,$             1.00,$            1.00,$             1.00,$            1.00,$             1.00,
Steelhead Report Card,N/A,N/A,N/A,$            3.00,$             3.00,$            3.00,$            3.00,$            3.00,$             3.00,$             3.00,
Striped Bass Stamp,$             3.50,$            3.50,$             3.50,$            3.50,$             3.50,N/A,N/A,N/A,$             3.50,$             3.50,
