Licenses,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
Resident Fishing     (Annual),"$  11,276,945","$  13,202,615","$  14,123,744","$  14,548,883","$ 26,773,552","$  26,886,489","$  32,344,308","$  30,757,194","$ 30,603,903","$ 29,758,931"
Non-Resident Fishing     (Annual),"$       313,802","$       351,374","$       376,918","$       367,025","$      514,150","$       530,913","$       589,815","$       641,970","$      569,500","$       598,038"
Non-Resident Fishing     (l0 Day),"$       208,370","$      223,452","$      251,740","$       256,620","$       450,463","$      485,513","$       568,157",N/A,N/A,N/A
1-Day Sportfishing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"$   1,210,655","$    1,503,288","$    1,740,876"
Resident Pacific Ocean Only,N/A,N/A,N/A,N/A,"$       932,153","$    1,038,272","$    1,357,030","$    1,488,800","$    1,810,820","$    1,782,630"
Pacific Ocean (1 Day),"$       313,034","$      387,730","$       450,028","$       471,094","$      622,092","$       732,625","$       811,073","$      843,745","$   1,019,052","$   1,141,140"
Pacific Ocean   (3 Day),"$         48,348","$        51,219","$         46,485","$         39,281",N/A,N/A,N/A,N/A,N/A,N/A
Pacific Ocean  (5 Day),N/A,N/A,N/A,N/A,"$           5,997","$          4,729","$          3,976",N/A,N/A,N/A
Reduced Fee Sportfishing,N/A,N/A,N/A,N/A,"$         11,566","$         19,194","$         31,858","$         39,344","$        49,810","$         53,678"
Sub Total - Licenses,"$ 12,160,500","$ 14,216,390","$ 15,248,915","$ 15,682,902","$ 29,309,973","$ 29,697,734","$ 35,706,217","$ 34,981,708","$ 35,556,372","$ 35,075,293"
"",,,,,,,,,,
Resident Upgrade Stamp,N/A,N/A,N/A,N/A,N/A,N/A,"$        10,424","$      122,496","$       157,103","$      145,373"
Colorado River Stamp (CA),"$        56,952","$        62,205","$         60,486","$         57,555","$         58,581","$        62,451","$        62,460","$         62,112","$        61,386","$         60,495"
Ocean Enhancement Stamp,N/A,N/A,N/A,N/A,"$       551,373","$      531,856","$       508,405","$       503,085","$      516,696","$      510,857"
Inland Water Stamp,"$   4,008,104","$    4,599,446","$   5,056,153","$    5,334,579",N/A,N/A,N/A,N/A,N/A,N/A
Sport Salmon Punch Card,N/A,N/A,N/A,N/A,N/A,N/A,"$        39,225","$         47,981","$        50,567","$        52,640"
Striped Bass Stamp,N/A,"$           5,250","$    1,849,680","$   1,888,898","$   2,069,130","$    2,011,013","$    1,806,994","$    1,736,263","$   1,742,916","$    1,684,939"
Trout Stamp,"$    5,294,778","$   6,240,343","$    6,542,696","$   6,666,164",N/A,N/A,N/A,N/A,N/A,N/A
Sub Total - Stamps & Report Cards,"$   9,359,834","$ 10,907,243","$ 13,509,015","$ 13,947,196","$   2,679,084","$   2,605,320","$   2,427,508","$   2,471,937","$   2,528,668","$   2,454,303"
"",,,,,,,,,,
TOTAL SPORT FISHING,"$  21,520,334","$  25,123,633","$ 28,757,929","$ 29,630,098","$  31,989,057","$ 32,303,054","$ 38,133,725","$ 37,453,645","$  38,085,040","$  37,529,596"
