Licenses,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
Resident Hunting     (Annual),$             10.25,$            11.50,$             12.50,$             13.25,$            14.00,$             14.50,$            18.00,$             17.00,$            18.75,$             19.25
Junior Hunting     (Annual),$              2.00,$              2.25,$              2.50,$              2.75,$              2.75,$              3.00,$              4.00,$              4.00,$              4.50,$             4.50
Non-Resident Hunting     (Annual),$             36.25,$            40.00,$             43.50,$            46.50,$            49.25,$             51.25,$             59.00,$            59.00,$             65.50,$             66.50
Non-Resident 1-Day Hunting,$              5.00,$             5.75,$              6.25,$              6.75,$              7.00,$              7.25,$              8.00,$             8.00,$              8.75,$             9.00
"",,,,,,,,,,
"",,,,,,,,,,
Resident First Deer Tag, $             3.00,$             3.50,$              3.75,$              4.00,$             4.25,$             7.50,$             10.22,$             10.00,$            11.00,$             11.25,
Non-Resident First Deer Tag,$             26.00,$             28.50,$             31.00,$            33.25,$             35.25,$          100.00,$          100.00,$           100.00,$           110.00,$           112.75
Resident Second Deer Tag,$              8.00,$              9.25,$             10.00,$             10.75,$             11.25,$             17.50,$             22.50,$            22.50,$             24.75,$            23.25
Non-Resident SecondDeer Tag,$             62.25,$             68.50,$             74.50,$             79.75,$             84.50,$           200.00,$           200.00,$           200.00,$           221.50,$          225.50
"",,,,,,,,,,
"",,,,,,,,,,
Resident Pronghorn Antelope Tag,$            35.00,$35.00,$35.00,$35.00,$35.00,$35.00,$55.00,$55.00,$61.00,$62.00
Resident Bighorn Sheep Tag,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$          200.00,$          200.00,$          200.00
Non-Resident Bighorn Sheep Tag,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$          495.00
Resident Elk Tag,N/A,N/A,N/A,N/A,N/A,$          165.00,$           165.00,$           178.00,$          180.75,$             26.00
"",,,,,,,,,,
"",,,,,,,,,,
Resident Bear Tags,$             1.00,$             1.00,$             1.00,$              5.00,$              7.50,$            10.00,$             15.00,$             15.00,$             16.75,$             17.00
Non-Resident Bear Tags,N/A,N/A,$             75.00,$             81.25,$             87.25,$             91.50,$           105.00,$           105.00,$          116.50,$          118.25
"",,,,,,,,,,
"",,,,,,,,,,
Bobcat Hunting Tags,,$              5.00,$              5.00,$              8.00,$              8.00,$             8.00,$             8.00,$              8.00,$             8.00,$              8.00
"",,,,,,,,,,
"",,,,,,,,,,
Duck Stamps,$             5.00,$             5.00,$              5.00,$             5.00,$              7.50,$             7.50,$             7.50,$              7.50,$              7.50,$              7.50
Waterfowl Application Stamp,$              1.00,$              1.00,$             1.00,$             1.00,$              1.00,$              1.00,$             1.00,$             1.00,$              1.00,$             1.00
1-Day Type A Wildlife Area Permit,N/A,N/A,N/A,N/A,N/A,N/A,$             10.00,$            10.00,$             10.00,$             10.00
2-Day Type A Wildlife Area Pass,N/A,N/A,N/A,N/A,N/A,N/A,$             15.00,$            15.00,$             15.00,$             15.00
Type A Wildlife Area Season Pass,N/A,N/A,N/A,N/A,N/A,N/A,$             75.00,$            75.00,$             75.00,$             75.00
Type B Wildlife Area Season Pass,N/A,N/A,N/A,N/A,N/A,N/A,$             25.00,$             25.00,$            25.00,$             25.00
