"source","table","region","port_complex_group","port_complex","year","category","comm_name_orig","comm_name","sci_name","landings_n"
"FB 121","FB 121","Statewide","Statewide","Statewide",1936,"Coastal pelagic species","California barracuda","California barracuda","Sphyraena argentea",492536
"FB 121","FB 121","Statewide","Statewide","Statewide",1936,"Coastal pelagic species","Pacific bonito","Pacific bonito","Sarda chiliensis",17916
"FB 121","FB 121","Statewide","Statewide","Statewide",1936,"Coastal pelagic species","Jack mackerel","Pacific jack mackerel","Trachurus symmetricus",1308
"FB 121","FB 121","Statewide","Statewide","Statewide",1936,"Coastal pelagic species","Pacific mackerel","Pacific mackerel","Scomber japonicus",70586
"FB 121","FB 121","Statewide","Statewide","Statewide",1936,"Flatfish","California halibut","California halibut","Paralichthys californicus",34961
"FB 121","FB 121","Statewide","Statewide","Statewide",1936,"Highly migratory species","Albacore tuna","Albacore tuna","Thunnus alalunga",453
"FB 121","FB 121","Statewide","Statewide","Statewide",1936,"Highly migratory species","Bluefin tuna","Bluefin tuna","Thunnus thynnus",2920
"FB 121","FB 121","Statewide","Statewide","Statewide",1936,"Highly migratory species","California yellowtail","Yellowtail (amberjack)","Seriola lalandi",90899
"FB 121","FB 121","Statewide","Statewide","Statewide",1936,"Other species","All other species","All other species","variable spp.",39220
"FB 121","FB 121","Statewide","Statewide","Statewide",1936,"Other species","California sheephead","California sheephead","Semicossyphus pulcher",8676
"FB 121","FB 121","Statewide","Statewide","Statewide",1936,"Other species","Kelp/sand bass","Kelp/sand bass","Paralabrax spp.",315582
"FB 121","FB 121","Statewide","Statewide","Statewide",1936,"Other species","Ocean whitefish","Ocean whitefish","Caulolatilus princeps",3069
"FB 121","FB 121","Statewide","Statewide","Statewide",1936,"Other species","White seabass","White seabass","Atractoscion nobilis",11046
"FB 121","FB 121","Statewide","Statewide","Statewide",1936,"Rockfish","Sculpin","California scorpionfish","Scorpaena guttata",14658
"FB 121","FB 121","Statewide","Statewide","Statewide",1936,"Rockfish","Rockfish","Rockfish","Sebastes spp.",204627
"FB 121","FB 121","Statewide","Statewide","Statewide",1936,"Roundfish","Cabezon","Cabezon","Scorpaenichthys marmoratus",2287
