"","data_source","authority","operator","facility_name","facility_id1","facility_id2","address1","address2","street_addres","locality","postal_code","description","type_use","commodity","storage_capacity","berth_description","keywords","website","long_dd","lat_dd"
"1","Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014","Harbour Authority of Sooke","DFO Small Craft Harbour","Sooke",184,285,"Sooke, BC","PO Box 571, Sooke, BC  V9Z 1H5","","Sooke","V9Z 1H5","Port","Fishing","fish, core fishing harbour","moorage, hydro, water, garbage, lights, parking, pay phone, security","wharf and floats, derrick","Sooke; Core; Fishing; Port; Small Craft Harbour","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-123.725755,48.369914
"2","Ogden Point Deep Water Port; BC Ports Handbook 2014; Greater Victoria Harbour Authority","Greater Victoria Port Authority","Greater Victoria Harbour Authority","Ogden Point Terminal",185,251,"189 Dallas Rd, Victoria, BC","189 Dallas Rd, Victoria, BC","189 Dallas Rd","Victoria","V8V 1A1","Terminal","Passenger Cruise and Vessel Services","ship servicing, cruiseship passengers","Pier A contains 2 berths with a modern 9290 m ware house and cruiseship services, Pier B serves as a staging area","Pier A 2 berths: length 305 m and 244 m, depth 10.7 m; Pier B 2 berths length 244 m and 244 m, depth 11 m ","Ogden Point; Victoria; Terminal; Cruiseship; Breakbulk; Cargo; Provisioning","http://www.gvha.ca/ogden-point-terminal",-123.3883418,48.4159155
"3","Greater Victoria Harbour Authority; BC Ports Handbook 2014","Greater Victoria Port Authority","Greater Victoria Harbour Authority","Ship Point",186,213,"700 Government St, Victoria, BC","700 Government St, Victoria, BC","700 Government St","Victoria","V8W 1W5","Terminal","Passenger Cruise ","pocket cruises and boat docking","Wharf is 12 meters in width with vehicle load limit of 10,200 kg GVW 2 axel semi-trailer","Southwest berth: length 91 m, depth 6 m;  Northwest berth: length 67 m, depth 5 m; 4 slips for vessels 35 - 44 m length","Ship Poiint; Victoria; Cruiseship; Terminal; Marina","http://www.gvha.ca/marinas-facilities/marinas/causeway-ship-point",-123.3709474,48.4213785
"4","Department of Fisheries and Oceans Small Craft Harbours","Department of Fisheries and Oceans","DFO Small Craft Harbour","Oak Bay (Turkey Head) - Breakwater",187,529,"Oak Bay, BC","Oak Bay, BC","","Oak Bay","","Harbour","Recreational","recreational","N/A","breakwater","Oak Bay; Turkey Head; Breakwater; Core; Fishing; Harbour; Small Craft Harbour","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-123.299475,48.425776
"5","Point Hope Maritime; Greater Victoria Harbour Authority; BC Ports Handbook 2014","Greater Victoria Harbour Authority","Point Hope Maritime Ltd","Point Hope Maritime Ltd.",188,219,"345 Harbour Rd, Victoria, BC","345 Harbour Rd, Victoria, BC","345 Harbour Rd","Victoria","V9A 3S2","Shipyard","Shipyards and Ship Repair Facilities","repair & vessel re-fit","N/A","N/A","Point Hope; Maritime; Victoria; Shipyard;","http://pointhopemaritime.com/",-123.3763624,48.4309936
"6","Public Works Canada; BC Ports Handbook 2014; Greater Victoria Harbour Authority","Greater Victoria Harbour Authority","Public Works and Government Services Canada","Esquimalt Graving Docks",189,379,"Esquimalt, BC","825 Admirals Rd, Victoria, BC  V9A 2P1","","Esquimalt","V9A 2P1","Shipyard","Shipyards and Ship Repair Facilities","dry dock ship repairs and servicing","150 tonne and 50 tonne travelling cranes on north wall graving dock; 30 tonne travelling crane on south wall","length 358.64 m, width 38.4, depth 11.5 m","Esquimalt; Graving Dock; Shipyard; Victoria; Government of Canada; Public Works","http://www.tpsgc-pwgsc.gc.ca/biens-property/cse-egd/index-eng.html",-123.4256444,48.4361772
"7","Seaspan; Greater Victoria Harbour Authority; BC Ports Handbook 2014 ","Greater Victoria Harbour Authority","Seaspan","Victoria Shipyards Co Ltd (Seaspan)",190,259,"Esquimalt, BC","825 Admirals Rd, Victoria, BC  V9A 2P1","","Esquimalt","V9A 2P1","Shipyard","Shipyards and Ship Repair Facilities","deep sea ship repair and servicing","N/A","N/A","Victoria; Shipyard; Seaspan ","http://www.seaspan.com/victoria-shipyards",-123.4308821,48.4374757
"8","Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014","Department of Fisheries and Oceans","DFO Small Craft Harbour","Sidney (Beacon Avenue)",191,279,"Sidney, BC","Sidney, BC","","Sidney","","Harbour","Recreational","recreational harbour","moorage, hydro, water, parking, pay phone","wharf and floats","Sidney; Beacon Avenue; Harbour; Recreational; Small Craft Harbour ","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-123.3929257,48.6493298
"9","Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014","Tsehum Harbour Authority","DFO Small Craft Harbour","Tsehum Harbour (Shoal Harbour)",192,513,"Sidney, BC","PO Box 2636, 10441 Resthaven Dr, Sidney, BC  V8L 4C1","","Sidney","V8L 4C1","Port","Fishing","fish, core fishing harbour","moorage, hydro, water, garbage, lights, parking, pumpout, pay phone, restroom facilities","wharf and floats, derrick","Tsehum Harbour; Shoal Harbour; Core; Fishing; Port; Small Craft Harbour","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-123.40806,48.667398
"10","BC Ports Handbook 2014; Department of Fisheries and Oceans Small Craft Harbours","Cowichan Bay Fisherman's Wharf Association","DFO Small Craft Harbour","Cowichan Bay",193,203,"Cowichan Bay, BC","PO Box 52, 1699 Cowichan Bay Rd, Cowichan Bay, BC  V0R 1N0","","Cowichan Bay","V0R 1N0","Port","Fishing ","fish, core fishing harbour","moorage, hydro, water, garbage, lights, security, parking, pumpout, storage, fuel sales, restroom facilities, laundry, pay phone","wharf and floats, breakwater derrick","Cowichan; Core; Fishing; Port; Small Craft Harbour; Marina","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/ha-ap-eng.asp?p=bc#PA005",-123.61767,48.741123
