"port_complex","port","lat_dd","long_dd"
"Bodega Bay","Bodega Bay",38.33325,-123.0480571
"Bodega Bay","Bolinas",37.9093702,-122.6863733
"Bodega Bay","Inverness",38.1010337,-122.8569377
"Bodega Bay","Marconi Cove",38.1438198,-122.8777264
"Bodega Bay","Other Bodega Bay Ports",38.13175032,-122.87637342
"Bodega Bay","Tomales Bay",38.1712779,-122.9127726
"Eureka","Crescent City",41.7557501,-124.2025913
"Eureka","Eureka",40.8020712,-124.1636729
"Eureka","Fields Landing",40.7249124,-124.2163772
"Eureka","Humboldt Bay",40.7195153,-124.242601
"Eureka","King Salmon",40.7392928,-124.2186722
"Eureka","Klamath",41.5265092,-124.0384069
"Eureka","Orick",41.2863689,-124.0597992
"Eureka","Other Eureka Ports",40.9604591222222,-124.150925766667
"Eureka","Shelter Cove",40.0304212,-124.0730866
"Eureka","Trinidad",41.059291,-124.1431246
"Fort Bragg","Albion",39.2232406,-123.7680598
"Fort Bragg","Elk",39.1304105,-123.7172951
"Fort Bragg","Fort Bragg",39.445723,-123.8052935
"Fort Bragg","Other Fort Bragg Ports",39.26877752,-123.7533592
"Fort Bragg","Point Arena",38.908798,-123.6930726
"Fort Bragg","Westport",39.6357155,-123.783075
"Los Angeles","Avalon",33.3428193,-118.3282279
"Los Angeles","Dana Point",33.4672256,-117.6981014
"Los Angeles","Hermosa Beach",33.8622366,-118.3995194
"Los Angeles","Huntington Beach",33.6594835,-117.9988026
"Los Angeles","Long Beach",33.7700504,-118.1937395
"Los Angeles","Los Angeles",34.0522342,-118.2436849
"Los Angeles","Marina Del Rey",33.9802893,-118.4517449
"Los Angeles","Newport Beach",33.6188829,-117.9298493
"Los Angeles","Other Los Angeles Ports",33.7591407142857,-118.21757665
"Los Angeles","Redondo Beach",33.8491816,-118.3884078
"Los Angeles","San Pedro",33.7360619,-118.2922461
"Los Angeles","Santa Monica",34.0194543,-118.4911912
"Los Angeles","Seal Beach",33.7414085,-118.1047682
"Los Angeles","Terminal Island",33.7428471,-118.2614332
"Los Angeles","Wilmington",33.7857948,-118.2643567
"Monterey","Big Creek",36.0701,-121.6004
"Monterey","Mill Creek",35.982551,-121.491901
"Monterey","Monterey",36.6002378,-121.8946761
"Monterey","Moss Landing",36.8044003,-121.7868953
"Monterey","Other Monterey Ports",36.48628124,-121.76093374
"Monterey","Santa Cruz",36.9741171,-122.0307963
"Morro Bay","Avila/Port San Luis",35.1787763,-120.7343817
"Morro Bay","Morro Bay",35.3659445,-120.8499924
"Morro Bay","Other Morro Bay Ports",35.3962450333333,-120.924565066667
"Morro Bay","San Simeon",35.6440143,-121.1893211
"Sacramento Delta","Other Sacramento Delta Ports",38.0567259,-121.49106175
"Sacramento Delta","Rio Vista",38.1557502,-121.6913439
"Sacramento Delta","Stockton",37.9577016,-121.2907796
"San Diego","Chula Vista",32.6400541,-117.0841955
"San Diego","Imperial Beach",32.5839444,-117.1130849
"San Diego","La Jolla",32.8328112,-117.2712717
"San Diego","Mission Bay",32.7805494,-117.2426259
"San Diego","National City",32.6781085,-117.0991967
"San Diego","Oceanside",33.1958696,-117.3794834
"San Diego","Other San Diego Ports",32.76588815,-117.1997032125
"San Diego","Point Loma",32.70003,-117.2466838
"San Diego","San Diego",32.715738,-117.1610838
"San Francisco","Alameda",37.7798721,-122.2821855
"San Francisco","Alviso",37.4261669,-121.9761384
"San Francisco","Berkeley",37.8715226,-122.273042
"San Francisco","China Camp",38.001253,-122.4910747
"San Francisco","Emeryville",37.8395028,-122.2892278
"San Francisco","Oakland",37.8043514,-122.2711639
"San Francisco","Other San Francisco Ports",37.8238601941176,-122.341541517647
"San Francisco","Petaluma",38.232417,-122.6366524
"San Francisco","Princeton/Half Moon Bay",37.5049409,-122.4869222
"San Francisco","Redwood City",37.4847955,-122.228141
"San Francisco","Richmond",37.9357576,-122.3477486
"San Francisco","Rodeo",38.032977,-122.2669138
"San Francisco","San Francisco",37.7749295,-122.4194155
"San Francisco","San Leandro",37.7257663,-122.1568554
"San Francisco","San Rafael",37.9735346,-122.5310874
"San Francisco","Sausalito",37.8590937,-122.4852507
"San Francisco","South San Francisco",37.654656,-122.4077498
"San Francisco","Vallejo",38.1040864,-122.2566367
"Santa Barbara","Gaviota Beach",34.4707557,-120.2276364
"Santa Barbara","Goleta Beach",34.4168342,-119.8322099
"Santa Barbara","Guadalupe Beach",34.9651314,-120.6504714
"Santa Barbara","Other Santa Barbara Ports",34.445646725,-119.8346312125
"Santa Barbara","Oxnard",34.1975048,-119.1770516
"Santa Barbara","Port Hueneme",34.1477829,-119.1951074
"Santa Barbara","Santa Barbara Harbor",34.4035586,-119.6936253
"Santa Barbara","Surf Beach",34.6831139,-120.6064278
"Santa Barbara","Ventura",34.2804923,-119.2945199
